Date,Open,High,Low,Close
12/31/2014,"0.25560%","0.25560%","0.25560%","0.25560%"
12/30/2014,"0.25520%","0.25520%","0.25520%","0.25520%"
12/29/2014,"0.25510%","0.25510%","0.25510%","0.25510%"
12/24/2014,"0.25660%","0.25660%","0.25660%","0.25660%"
12/23/2014,"0.25460%","0.25460%","0.25460%","0.25460%"
12/22/2014,"0.25510%","0.25510%","0.25510%","0.25510%"
12/19/2014,"0.25210%","0.25210%","0.25210%","0.25210%"
12/18/2014,"0.24710%","0.24710%","0.24710%","0.24710%"
12/17/2014,"0.24535%","0.24535%","0.24535%","0.24535%"
12/16/2014,"0.24260%","0.24260%","0.24260%","0.24260%"
12/15/2014,"0.24260%","0.24260%","0.24260%","0.24260%"
12/12/2014,"0.24285%","0.24285%","0.24285%","0.24285%"
12/11/2014,"0.24060%","0.24060%","0.24060%","0.24060%"
12/10/2014,"0.23990%","0.23990%","0.23990%","0.23990%"
12/09/2014,"0.23885%","0.23885%","0.23885%","0.23885%"
12/08/2014,"0.23760%","0.23760%","0.23760%","0.23760%"
12/05/2014,"0.23560%","0.23560%","0.23560%","0.23560%"
12/04/2014,"0.23535%","0.23535%","0.23535%","0.23535%"
12/03/2014,"0.23485%","0.23485%","0.23485%","0.23485%"
12/02/2014,"0.23460%","0.23460%","0.23460%","0.23460%"
12/01/2014,"0.23460%","0.23460%","0.23460%","0.23460%"
11/28/2014,"0.23360%","0.23360%","0.23360%","0.23360%"
11/27/2014,"0.23360%","0.23360%","0.23360%","0.23360%"
11/26/2014,"0.23560%","0.23560%","0.23560%","0.23560%"
11/25/2014,"0.23560%","0.23560%","0.23560%","0.23560%"
11/24/2014,"0.23435%","0.23435%","0.23435%","0.23435%"
11/21/2014,"0.23285%","0.23285%","0.23285%","0.23285%"
11/20/2014,"0.23290%","0.23290%","0.23290%","0.23290%"
11/19/2014,"0.23110%","0.23110%","0.23110%","0.23110%"
11/18/2014,"0.23185%","0.23185%","0.23185%","0.23185%"
11/17/2014,"0.23185%","0.23185%","0.23185%","0.23185%"
11/14/2014,"0.23210%","0.23210%","0.23210%","0.23210%"
11/13/2014,"0.23210%","0.23210%","0.23210%","0.23210%"
11/12/2014,"0.23320%","0.23320%","0.23320%","0.23320%"
11/11/2014,"0.23320%","0.23320%","0.23320%","0.23320%"
11/10/2014,"0.23310%","0.23310%","0.23310%","0.23310%"
11/07/2014,"0.23260%","0.23260%","0.23260%","0.23260%"
11/06/2014,"0.23160%","0.23160%","0.23160%","0.23160%"
11/05/2014,"0.23185%","0.23185%","0.23185%","0.23185%"
11/04/2014,"0.23185%","0.23185%","0.23185%","0.23185%"
11/03/2014,"0.23235%","0.23235%","0.23235%","0.23235%"
10/31/2014,"0.23210%","0.23210%","0.23210%","0.23210%"
10/30/2014,"0.23235%","0.23235%","0.23235%","0.23235%"
10/29/2014,"0.23260%","0.23260%","0.23260%","0.23260%"
10/28/2014,"0.23260%","0.23260%","0.23260%","0.23260%"
10/27/2014,"0.23260%","0.23260%","0.23260%","0.23260%"
10/24/2014,"0.23310%","0.23310%","0.23310%","0.23310%"
10/23/2014,"0.23360%","0.23360%","0.23360%","0.23360%"
10/22/2014,"0.23280%","0.23280%","0.23280%","0.23280%"
10/21/2014,"0.23060%","0.23060%","0.23060%","0.23060%"
10/20/2014,"0.23210%","0.23210%","0.23210%","0.23210%"
10/17/2014,"0.23135%","0.23135%","0.23135%","0.23135%"
10/16/2014,"0.23075%","0.23075%","0.23075%","0.23075%"
10/15/2014,"0.22810%","0.22810%","0.22810%","0.22810%"
10/14/2014,"0.22910%","0.22910%","0.22910%","0.22910%"
10/13/2014,"0.23060%","0.23060%","0.23060%","0.23060%"
10/10/2014,"0.23000%","0.23000%","0.23000%","0.23000%"
10/09/2014,"0.22910%","0.22910%","0.22910%","0.22910%"
10/08/2014,"0.22910%","0.22910%","0.22910%","0.22910%"
10/07/2014,"0.23110%","0.23110%","0.23110%","0.23110%"
10/06/2014,"0.23260%","0.23260%","0.23260%","0.23260%"
10/03/2014,"0.23160%","0.23160%","0.23160%","0.23160%"
10/02/2014,"0.23120%","0.23120%","0.23120%","0.23120%"
10/01/2014,"0.23260%","0.23260%","0.23260%","0.23260%"
09/30/2014,"0.23510%","0.23510%","0.23510%","0.23510%"
09/29/2014,"0.23510%","0.23510%","0.23510%","0.23510%"
09/26/2014,"0.23310%","0.23310%","0.23310%","0.23310%"
09/25/2014,"0.23360%","0.23360%","0.23360%","0.23360%"
09/24/2014,"0.23510%","0.23510%","0.23510%","0.23510%"
09/23/2014,"0.23410%","0.23410%","0.23410%","0.23410%"
09/22/2014,"0.23560%","0.23560%","0.23560%","0.23560%"
09/19/2014,"0.23310%","0.23310%","0.23310%","0.23310%"
09/18/2014,"0.23310%","0.23310%","0.23310%","0.23310%"
09/17/2014,"0.23410%","0.23410%","0.23410%","0.23410%"
09/16/2014,"0.23440%","0.23440%","0.23440%","0.23440%"
09/15/2014,"0.23460%","0.23460%","0.23460%","0.23460%"
09/12/2014,"0.23460%","0.23460%","0.23460%","0.23460%"
09/11/2014,"0.23410%","0.23410%","0.23410%","0.23410%"
09/10/2014,"0.23460%","0.23460%","0.23460%","0.23460%"
09/09/2014,"0.23460%","0.23460%","0.23460%","0.23460%"
09/08/2014,"0.23360%","0.23360%","0.23360%","0.23360%"
09/05/2014,"0.23230%","0.23230%","0.23230%","0.23230%"
09/04/2014,"0.23310%","0.23310%","0.23310%","0.23310%"
09/03/2014,"0.23410%","0.23410%","0.23410%","0.23410%"
09/02/2014,"0.23310%","0.23310%","0.23310%","0.23310%"
09/01/2014,"0.23360%","0.23360%","0.23360%","0.23360%"
08/29/2014,"0.23360%","0.23360%","0.23360%","0.23360%"
08/28/2014,"0.23360%","0.23360%","0.23360%","0.23360%"
08/27/2014,"0.23460%","0.23460%","0.23460%","0.23460%"
08/26/2014,"0.23810%","0.23810%","0.23810%","0.23810%"
08/25/2014,"0.23840%","0.23840%","0.23840%","0.23840%"
08/22/2014,"0.23840%","0.23840%","0.23840%","0.23840%"
08/21/2014,"0.23490%","0.23490%","0.23490%","0.23490%"
08/20/2014,"0.23490%","0.23490%","0.23490%","0.23490%"
08/19/2014,"0.23440%","0.23440%","0.23440%","0.23440%"
08/18/2014,"0.23210%","0.23210%","0.23210%","0.23210%"
08/15/2014,"0.23210%","0.23210%","0.23210%","0.23210%"
08/14/2014,"0.23110%","0.23110%","0.23110%","0.23110%"
