DATE,DEXCAUS,SP500,TSX,Gold,ED,month,year,day,year_month,BCPI,IR,PPI,M1,M3,Oil,Unemployment,IndProd,PPP
2009-01-02,1.2101,931.8,9234.099609,869.75,1.41,1,2009,2,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-05,1.192,927.45,9285.5,860.0,1.42,1,2009,5,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-06,1.1822,934.7,9472.099609,844.0,1.41,1,2009,6,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-07,1.185,906.65,9121.299805,864.0,1.4,1,2009,7,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-08,1.189,909.73,9221.599609,842.5,1.35,1,2009,8,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-09,1.192,890.35,9085.200195,854.0,1.26,1,2009,9,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-12,1.2075,870.26,8793.299805,848.5,1.16,1,2009,12,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-13,1.2255,871.79,8961.599609,815.5,1.09,1,2009,13,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-14,1.2373,842.62,8688.400391,827.25,1.08,1,2009,14,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-15,1.2623,843.74,8879.599609,813.0,1.09,1,2009,15,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-16,1.254,850.12,8920.400391,824.25,1.14,1,2009,16,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-20,1.2604,805.22,8504.900391,835.0,1.12,1,2009,20,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-21,1.2749,840.24,8757.900391,860.5,1.13,1,2009,21,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-22,1.2624,827.5,8486.599609,847.75,1.16,1,2009,22,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-23,1.2478,831.95,8628.0,873.0,1.17,1,2009,23,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-26,1.22,836.57,8656.5,906.5,1.18,1,2009,26,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-27,1.2292,845.71,8759.599609,896.0,1.18,1,2009,27,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-28,1.2096,874.09,8906.200195,891.25,1.17,1,2009,28,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-29,1.2187,845.14,8762.799805,878.5,1.17,1,2009,29,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
2009-01-30,1.2365,825.88,8694.900391,918.5,1.18,1,2009,30,20091,399.85,1.589048,89.5172,57.67868,66.68929,41.74,7.4,91.45509,1.202244
