"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","STINT","TOT","PC_PA","M","2008-12",2.344286,
"CAN","STINT","TOT","PC_PA","M","2009-01",1.589048,
"CAN","STINT","TOT","PC_PA","M","2009-02",1.231053,
"CAN","STINT","TOT","PC_PA","M","2009-03",1.062727,
"CAN","STINT","TOT","PC_PA","M","2009-04",0.8980953,
"CAN","STINT","TOT","PC_PA","M","2009-05",0.6365,
"CAN","STINT","TOT","PC_PA","M","2009-06",0.56,
"CAN","STINT","TOT","PC_PA","M","2009-07",0.3836364,
"CAN","STINT","TOT","PC_PA","M","2009-08",0.4205,
"CAN","STINT","TOT","PC_PA","M","2009-09",0.3980953,
"CAN","STINT","TOT","PC_PA","M","2009-10",0.3866667,
"CAN","STINT","TOT","PC_PA","M","2009-11",0.3805,
"CAN","STINT","TOT","PC_PA","M","2009-12",0.3790476,
"CAN","STINT","TOT","PC_PA","M","2010-01",0.38,
"CAN","STINT","TOT","PC_PA","M","2010-02",0.3757895,
"CAN","STINT","TOT","PC_PA","M","2010-03",0.3856522,
"CAN","STINT","TOT","PC_PA","M","2010-04",0.487619,
"CAN","STINT","TOT","PC_PA","M","2010-05",0.6035,
"CAN","STINT","TOT","PC_PA","M","2010-06",0.7240909,
"CAN","STINT","TOT","PC_PA","M","2010-07",0.8328571,
"CAN","STINT","TOT","PC_PA","M","2010-08",0.9028571,
"CAN","STINT","TOT","PC_PA","M","2010-09",1.114286,
"CAN","STINT","TOT","PC_PA","M","2010-10",1.157,
"CAN","STINT","TOT","PC_PA","M","2010-11",1.167143,
"CAN","STINT","TOT","PC_PA","M","2010-12",1.179524,
"CAN","STINT","TOT","PC_PA","M","2011-01",1.18,
"CAN","STINT","TOT","PC_PA","M","2011-02",1.188421,
"CAN","STINT","TOT","PC_PA","M","2011-03",1.183913,
"CAN","STINT","TOT","PC_PA","M","2011-04",1.184,
"CAN","STINT","TOT","PC_PA","M","2011-05",1.187143,
"CAN","STINT","TOT","PC_PA","M","2011-06",1.169545,
"CAN","STINT","TOT","PC_PA","M","2011-07",1.17,
"CAN","STINT","TOT","PC_PA","M","2011-08",1.151818,
"CAN","STINT","TOT","PC_PA","M","2011-09",1.15,
"CAN","STINT","TOT","PC_PA","M","2011-10",1.1515,
"CAN","STINT","TOT","PC_PA","M","2011-11",1.159524,
"CAN","STINT","TOT","PC_PA","M","2011-12",1.156,
"CAN","STINT","TOT","PC_PA","M","2012-01",1.158571,
"CAN","STINT","TOT","PC_PA","M","2012-02",1.16,
"CAN","STINT","TOT","PC_PA","M","2012-03",1.152273,
"CAN","STINT","TOT","PC_PA","M","2012-04",1.147,
"CAN","STINT","TOT","PC_PA","M","2012-05",1.179545,
"CAN","STINT","TOT","PC_PA","M","2012-06",1.160952,
"CAN","STINT","TOT","PC_PA","M","2012-07",1.16,
"CAN","STINT","TOT","PC_PA","M","2012-08",1.16,
"CAN","STINT","TOT","PC_PA","M","2012-09",1.16,
"CAN","STINT","TOT","PC_PA","M","2012-10",1.16,
