"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","INDPROD","MFG","IDX2015","M","2008-09",97.60672,
"AUT","INDPROD","MFG","IDX2015","M","2008-10",93.0379,
"AUT","INDPROD","MFG","IDX2015","M","2008-11",88.96748,
"AUT","INDPROD","MFG","IDX2015","M","2008-12",90.62888,
"AUT","INDPROD","MFG","IDX2015","M","2009-01",86.64154,
"AUT","INDPROD","MFG","IDX2015","M","2009-02",84.06638,
"AUT","INDPROD","MFG","IDX2015","M","2009-03",85.56164,
"AUT","INDPROD","MFG","IDX2015","M","2009-04",82.40499,
"AUT","INDPROD","MFG","IDX2015","M","2009-05",80.99281,
"AUT","INDPROD","MFG","IDX2015","M","2009-06",82.23885,
"AUT","INDPROD","MFG","IDX2015","M","2009-07",82.73727,
"AUT","INDPROD","MFG","IDX2015","M","2009-08",82.15578,
"AUT","INDPROD","MFG","IDX2015","M","2009-09",84.06638,
"AUT","INDPROD","MFG","IDX2015","M","2009-10",84.89708,
"AUT","INDPROD","MFG","IDX2015","M","2009-11",85.14629,
"AUT","INDPROD","MFG","IDX2015","M","2009-12",86.39233,
"AUT","INDPROD","MFG","IDX2015","M","2010-01",83.86421,
"AUT","INDPROD","MFG","IDX2015","M","2010-02",85.29932,
"AUT","INDPROD","MFG","IDX2015","M","2010-03",86.82413,
"AUT","INDPROD","MFG","IDX2015","M","2010-04",86.37566,
"AUT","INDPROD","MFG","IDX2015","M","2010-05",89.06648,
"AUT","INDPROD","MFG","IDX2015","M","2010-06",90.3222,
"AUT","INDPROD","MFG","IDX2015","M","2010-07",90.05312,
"AUT","INDPROD","MFG","IDX2015","M","2010-08",91.57793,
"AUT","INDPROD","MFG","IDX2015","M","2010-09",92.56457,
"AUT","INDPROD","MFG","IDX2015","M","2010-10",92.65426,
"AUT","INDPROD","MFG","IDX2015","M","2010-11",93.6409,
"AUT","INDPROD","MFG","IDX2015","M","2010-12",93.5512,
"AUT","INDPROD","MFG","IDX2015","M","2011-01",95.43478,
"AUT","INDPROD","MFG","IDX2015","M","2011-02",94.80692,
"AUT","INDPROD","MFG","IDX2015","M","2011-03",95.25539,
"AUT","INDPROD","MFG","IDX2015","M","2011-04",95.43478,
"AUT","INDPROD","MFG","IDX2015","M","2011-05",95.61417,
"AUT","INDPROD","MFG","IDX2015","M","2011-06",95.97295,
"AUT","INDPROD","MFG","IDX2015","M","2011-07",95.70387,
"AUT","INDPROD","MFG","IDX2015","M","2011-08",96.06264,
"AUT","INDPROD","MFG","IDX2015","M","2011-09",96.24203,
"AUT","INDPROD","MFG","IDX2015","M","2011-10",95.79356,
"AUT","INDPROD","MFG","IDX2015","M","2011-11",96.51112,
"AUT","INDPROD","MFG","IDX2015","M","2011-12",96.33173,
"AUT","INDPROD","MFG","IDX2015","M","2012-01",94.98631,
"AUT","INDPROD","MFG","IDX2015","M","2012-02",93.73059,
"AUT","INDPROD","MFG","IDX2015","M","2012-03",95.34509,
"AUT","INDPROD","MFG","IDX2015","M","2012-04",95.43478,
"AUT","INDPROD","MFG","IDX2015","M","2012-05",96.69051,
"AUT","INDPROD","MFG","IDX2015","M","2012-06",96.51112,
"AUT","INDPROD","MFG","IDX2015","M","2012-07",96.15234,
"AUT","INDPROD","MFG","IDX2015","M","2012-08",97.67714,
"AUT","INDPROD","MFG","IDX2015","M","2012-09",95.52448,
"AUT","INDPROD","MFG","IDX2015","M","2012-10",97.04928,
"AUT","INDPROD","MFG","IDX2015","M","2012-11",95.70387,
"AUT","INDPROD","MFG","IDX2015","M","2012-12",95.61417,
"AUT","INDPROD","MFG","IDX2015","M","2013-01",95.61417,
"AUT","INDPROD","MFG","IDX2015","M","2013-02",94.53784,
"AUT","INDPROD","MFG","IDX2015","M","2013-03",95.88326,
"AUT","INDPROD","MFG","IDX2015","M","2013-04",97.22867,
"AUT","INDPROD","MFG","IDX2015","M","2013-05",96.95959,
"AUT","INDPROD","MFG","IDX2015","M","2013-06",96.06264,
"AUT","INDPROD","MFG","IDX2015","M","2013-07",96.7802,
"AUT","INDPROD","MFG","IDX2015","M","2013-08",97.13898,
"AUT","INDPROD","MFG","IDX2015","M","2013-09",98.03592,
"AUT","INDPROD","MFG","IDX2015","M","2013-10",96.95959,
"AUT","INDPROD","MFG","IDX2015","M","2013-11",97.67714,
"AUT","INDPROD","MFG","IDX2015","M","2013-12",96.69051,
"AUT","INDPROD","MFG","IDX2015","M","2014-01",98.66378,
"AUT","INDPROD","MFG","IDX2015","M","2014-02",98.57409,
"AUT","INDPROD","MFG","IDX2015","M","2014-03",97.13898,
"AUT","INDPROD","MFG","IDX2015","M","2014-04",97.94623,
"AUT","INDPROD","MFG","IDX2015","M","2014-05",96.06264,
"AUT","INDPROD","MFG","IDX2015","M","2014-06",100.8164,
"AUT","INDPROD","MFG","IDX2015","M","2014-07",97.40806,
"AUT","INDPROD","MFG","IDX2015","M","2014-08",96.24203,
"AUT","INDPROD","MFG","IDX2015","M","2014-09",97.76684,
"AUT","INDPROD","MFG","IDX2015","M","2014-10",96.7802,
"AUT","INDPROD","MFG","IDX2015","M","2014-11",96.42142,
"AUT","INDPROD","MFG","IDX2015","M","2014-12",99.38133,
"AUT","INDPROD","MFG","IDX2015","M","2015-01",99.11652,
"AUT","INDPROD","MFG","IDX2015","M","2015-02",99.31655,
"AUT","INDPROD","MFG","IDX2015","M","2015-03",100.1167,
"AUT","INDPROD","MFG","IDX2015","M","2015-04",99.21654,
"AUT","INDPROD","MFG","IDX2015","M","2015-05",99.6166,
"AUT","INDPROD","MFG","IDX2015","M","2015-06",100.6168,
"AUT","INDPROD","MFG","IDX2015","M","2015-07",100.5168,
"AUT","INDPROD","MFG","IDX2015","M","2015-08",100.4167,
"AUT","INDPROD","MFG","IDX2015","M","2015-09",100.1167,
"AUT","INDPROD","MFG","IDX2015","M","2015-10",101.3169,
"AUT","INDPROD","MFG","IDX2015","M","2015-11",100.9168,
"AUT","INDPROD","MFG","IDX2015","M","2015-12",98.91649,
"AUT","INDPROD","MFG","IDX2015","M","2016-01",103.2172,
"AUT","INDPROD","MFG","IDX2015","M","2016-02",101.5169,
"AUT","INDPROD","MFG","IDX2015","M","2016-03",101.7169,
"AUT","INDPROD","MFG","IDX2015","M","2016-04",102.4171,
"AUT","INDPROD","MFG","IDX2015","M","2016-05",102.017,
"AUT","INDPROD","MFG","IDX2015","M","2016-06",101.3169,
"AUT","INDPROD","MFG","IDX2015","M","2016-07",100.7168,
"AUT","INDPROD","MFG","IDX2015","M","2016-08",102.7171,
"AUT","INDPROD","MFG","IDX2015","M","2016-09",102.9172,
"AUT","INDPROD","MFG","IDX2015","M","2016-10",103.8173,
"AUT","INDPROD","MFG","IDX2015","M","2016-11",104.4174,
"AUT","INDPROD","MFG","IDX2015","M","2016-12",104.6174,
"AUT","INDPROD","MFG","IDX2015","M","2017-01",102.9172,
