"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","M3","TOT","IDX2015","M","2008-11",62.54448,
"AUS","M3","TOT","IDX2015","M","2008-12",63.32334,
"AUS","M3","TOT","IDX2015","M","2009-01",63.7576,
"AUS","M3","TOT","IDX2015","M","2009-02",64.67935,
"AUS","M3","TOT","IDX2015","M","2009-03",64.62611,
"AUS","M3","TOT","IDX2015","M","2009-04",64.53086,
"AUS","M3","TOT","IDX2015","M","2009-05",65.22568,
"AUS","M3","TOT","IDX2015","M","2009-06",65.74959,
"AUS","M3","TOT","IDX2015","M","2009-07",66.11941,
"AUS","M3","TOT","IDX2015","M","2009-08",66.29591,
"AUS","M3","TOT","IDX2015","M","2009-09",66.40237,
"AUS","M3","TOT","IDX2015","M","2009-10",66.35474,
"AUS","M3","TOT","IDX2015","M","2009-11",66.28191,
"AUS","M3","TOT","IDX2015","M","2009-12",66.13622,
"AUS","M3","TOT","IDX2015","M","2010-01",66.15863,
"AUS","M3","TOT","IDX2015","M","2010-02",66.65173,
"AUS","M3","TOT","IDX2015","M","2010-03",67.38577,
"AUS","M3","TOT","IDX2015","M","2010-04",67.97971,
"AUS","M3","TOT","IDX2015","M","2010-05",68.32432,
"AUS","M3","TOT","IDX2015","M","2010-06",68.72776,
"AUS","M3","TOT","IDX2015","M","2010-07",69.31892,
"AUS","M3","TOT","IDX2015","M","2010-08",69.91847,
"AUS","M3","TOT","IDX2015","M","2010-09",70.42838,
"AUS","M3","TOT","IDX2015","M","2010-10",71.01392,
"AUS","M3","TOT","IDX2015","M","2010-11",71.95248,
"AUS","M3","TOT","IDX2015","M","2010-12",72.74816,
"AUS","M3","TOT","IDX2015","M","2011-01",73.23004,
"AUS","M3","TOT","IDX2015","M","2011-02",73.87163,
"AUS","M3","TOT","IDX2015","M","2011-03",74.51601,
"AUS","M3","TOT","IDX2015","M","2011-04",74.97829,
"AUS","M3","TOT","IDX2015","M","2011-05",75.34811,
"AUS","M3","TOT","IDX2015","M","2011-06",75.40134,
"AUS","M3","TOT","IDX2015","M","2011-07",75.54142,
"AUS","M3","TOT","IDX2015","M","2011-08",76.37352,
"AUS","M3","TOT","IDX2015","M","2011-09",77.24483,
"AUS","M3","TOT","IDX2015","M","2011-10",77.72392,
"AUS","M3","TOT","IDX2015","M","2011-11",78.06573,
"AUS","M3","TOT","IDX2015","M","2011-12",78.5196,
