"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","TOT_MKT","IDX2015","M","2009-01",94.37351,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-02",94.27682,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-03",94.18012,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-04",93.30988,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-05",93.69666,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-06",93.59996,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-07",93.21318,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-08",93.50327,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-09",94.37351,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-10",93.59996,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-11",93.59996,
"AUT","PPI","TOT_MKT","IDX2015","M","2009-12",93.59996,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-01",93.98673,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-02",94.37351,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-03",94.85699,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-04",95.92062,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-05",96.59748,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-06",97.17764,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-07",97.27434,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-08",97.66112,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-09",97.8545,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-10",97.66112,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-11",98.14458,
"AUT","PPI","TOT_MKT","IDX2015","M","2010-12",98.53136,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-01",99.20822,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-02",99.595,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-03",100.1752,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-04",100.5619,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-05",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-06",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-07",100.7553,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-08",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-09",100.852,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-10",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-11",100.6586,
"AUT","PPI","TOT_MKT","IDX2015","M","2011-12",100.5619,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-01",100.9487,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-02",101.1421,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-03",101.5289,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-04",101.9157,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-05",101.819,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-06",101.4322,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-07",101.2388,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-08",101.7223,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-09",102.0124,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-10",101.9157,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-11",101.6256,
"AUT","PPI","TOT_MKT","IDX2015","M","2012-12",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-01",101.5289,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-02",101.6256,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-03",101.6256,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-04",101.4322,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-05",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-06",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-07",101.2388,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-08",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-09",101.3355,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-10",101.1421,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-11",101.0454,
"AUT","PPI","TOT_MKT","IDX2015","M","2013-12",101.0454,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-01",101.0454,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-02",100.9487,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-03",100.852,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-04",100.9487,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-05",100.9487,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-06",101.0454,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-07",100.9487,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-08",101.0454,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-09",100.9487,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-10",100.7553,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-11",100.5619,
"AUT","PPI","TOT_MKT","IDX2015","M","2014-12",100.0785,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-01",99.6917,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-02",99.89168,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-03",100.2916,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-04",100.5916,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-05",100.7916,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-06",100.7916,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-07",100.4916,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-08",99.99167,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-09",99.79169,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-10",99.39172,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-11",99.29173,
"AUT","PPI","TOT_MKT","IDX2015","M","2015-12",98.99175,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-01",98.59178,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-02",98.09183,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-03",98.29181,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-04",98.49179,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-05",98.79177,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-06",99.09174,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-07",99.09174,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-08",98.99175,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-09",99.09174,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-10",99.39172,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-11",99.5917,
"AUT","PPI","TOT_MKT","IDX2015","M","2016-12",100.0917,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-01",100.7916,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-02",101.0916,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-03",101.3915,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-04",101.7915,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-05",101.3915,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-06",101.2916,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-07",100.8916,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-08",101.0916,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-09",101.3915,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-10",101.7915,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-11",102.1915,
"AUT","PPI","TOT_MKT","IDX2015","M","2017-12",101.9915,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-01",102.5915,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-02",102.5915,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-03",102.6914,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-04",103.0914,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-05",103.5914,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-06",103.8913,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-07",103.9913,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-08",104.0913,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-09",104.1913,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-10",104.5913,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-11",104.2913,
"AUT","PPI","TOT_MKT","IDX2015","M","2018-12",103.4914,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-01",103.5914,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-02",103.6914,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-03",103.8913,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-04",104.1913,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-05",103.9913,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-06",103.7914,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-07",103.8913,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-08",103.7914,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-09",103.7914,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-10",103.6914,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-11",103.5914,
"AUT","PPI","TOT_MKT","IDX2015","M","2019-12",103.6914,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-01",103.6914,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-02",103.5914,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-03",102.8914,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-04",102.2915,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-05",101.9915,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-06",102.2915,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-07",102.3915,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-08",102.2915,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-09",102.0915,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-10",102.3915,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-11",102.4915,
"AUT","PPI","TOT_MKT","IDX2015","M","2020-12",102.7914,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-01",103.5914,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-02",104.5913,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-03",105.6912,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-04",106.6911,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-05",107.591,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-06",108.491,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-07",110.2908,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-08",110.9908,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-09",111.3907,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-10",112.9906,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-11",113.9905,
"AUT","PPI","TOT_MKT","IDX2015","M","2021-12",114.1905,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-01",89.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-02",89.3,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-03",88.9,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-04",90,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-05",91.7,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-06",93.6,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-07",92.7,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-08",93.9,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-09",93.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-10",93,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-11",94.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2009-12",94.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-01",95.3,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-02",95.6,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-03",96.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-04",98.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-05",99.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-06",99.6,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-07",99.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-08",99.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-09",100,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-10",100.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-11",100.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2010-12",102.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-01",104.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-02",105.7,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-03",107.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-04",108.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-05",107.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-06",107.6,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-07",107.9,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-08",107.3,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-09",107.7,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-10",107.7,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-11",107.6,
"BEL","PPI","TOT_MKT","IDX2015","M","2011-12",107.7,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-01",109.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-02",110.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-03",111.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-04",111.9,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-05",111.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-06",109.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-07",110,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-08",111.5,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-09",112.3,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-10",111.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-11",111.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2012-12",110.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-01",110.6,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-02",111.3,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-03",111.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-04",109.6,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-05",109.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-06",108.9,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-07",109.5,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-08",109.5,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-09",110.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-10",109.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-11",108.9,
"BEL","PPI","TOT_MKT","IDX2015","M","2013-12",109.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-01",108.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-02",108.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-03",107.9,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-04",107.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-05",108,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-06",108.4,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-07",108.2,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-08",107.7,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-09",107.3,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-10",106.1,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-11",104.3,
"BEL","PPI","TOT_MKT","IDX2015","M","2014-12",100.7,
"BEL","PPI","TOT_MKT","IDX2015","M","2015-01",98.3,
"BEL","PPI","TOT_MKT","IDX2015","M","2015-02",99.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2015-03",101.8,
"BEL","PPI","TOT_MKT","IDX2015","M","2015-04",102.5,
"BEL","PPI","TOT_MKT","IDX2015","M","2015-05",103.6,
"BEL","PPI","TOT_MKT","IDX2015","M","2015-06",103,
"BEL","PPI","TOT_MKT","IDX2015","M","2015-07",102,
