Sample,Date,Actual,Predicted
1,2020-01-17,1.3074,1.3060508067187369
1,2020-01-21,1.3068,1.3059072511631813
1,2020-01-22,1.3135,1.3059072511631813
1,2020-01-23,1.3144,1.305856967829848
1,2020-01-24,1.3146,1.3057551743113294
1,2020-01-27,1.3176,1.3050018315864629
1,2020-01-28,1.3174,1.3055012048668864
1,2020-01-29,1.3201,1.3055980441526003
1,2020-01-30,1.3216,1.3054962405811716
1,2020-01-31,1.322,1.3051248968984488
2,2020-02-03,1.3295,1.3084782892435947
2,2020-02-04,1.3266,1.3085112887996222
2,2020-02-05,1.3294,1.3088960384027961
2,2020-02-06,1.3292,1.3086203983234312
2,2020-02-07,1.3304,1.3085469915773995
2,2020-02-10,1.3323,1.3081277983636161
2,2020-02-11,1.3299,1.308273547132955
2,2020-02-12,1.3243,1.3082953887996218
2,2020-02-13,1.3255,1.3081483816969495
2,2020-02-14,1.3251,1.3081483816969495
3,2020-02-18,1.3256,1.3081563816969497
3,2020-02-19,1.3232,1.3081563816969497
3,2020-02-20,1.3259,1.3083132070937749
3,2020-02-21,1.3217,1.3083132070937749
3,2020-02-24,1.3282,1.3068892161796963
3,2020-02-25,1.3285,1.307942362795475
3,2020-02-26,1.3321,1.30772250795994
3,2020-02-27,1.3356,1.3080605377057963
3,2020-02-28,1.3411,1.3097323152129856
3,2020-03-02,1.3334,1.2943895967550114
4,2020-03-03,1.3352,1.2941198352479353
4,2020-03-04,1.3425,1.2918889106475044
4,2020-03-05,1.3403,1.2919780134045846
4,2020-03-06,1.342,1.292363281381161
4,2020-03-09,1.3527,1.291664691842834
4,2020-03-10,1.3775,1.2926689029476237
4,2020-03-11,1.3748,1.292029888876193
4,2020-03-12,1.3869,1.2972249227375838
4,2020-03-13,1.3991,1.2959976343568724
4,2020-03-16,1.3974,1.3049209596405718
5,2020-03-17,1.4188,1.303894825731013
5,2020-03-18,1.4529,1.308593973293629
5,2020-03-19,1.4463,1.3069302563855367
5,2020-03-20,1.4363,1.3082291105591408
5,2020-03-23,1.4539,1.3068455602348186
5,2020-03-24,1.448,1.299894101159243
5,2020-03-25,1.4333,1.2981544771501459
5,2020-03-26,1.4045,1.2972550615945533
5,2020-03-27,1.4075,1.2999609584366054
5,2020-03-30,1.4169,1.298113027144509
6,2020-03-31,1.4123,1.2983140089569172
6,2020-04-01,1.4222,1.3013501533785399
6,2020-04-02,1.411,1.3016178061219015
6,2020-04-03,1.4132,1.3018346913415026
6,2020-04-06,1.4125,1.2978624664949843
6,2020-04-07,1.3971,1.2967249375267302
6,2020-04-08,1.4015,1.2966197794443513
6,2020-04-09,1.398,1.2969663137321004
6,2020-04-10,1.3967,1.2969663137321004
6,2020-04-13,1.3953,1.2970980023075989
7,2020-04-14,1.3903,1.2976182277613673
7,2020-04-15,1.4105,1.2986440704925541
7,2020-04-16,1.4141,1.2987806704925544
7,2020-04-17,1.4026,1.2972265642448837
7,2020-04-20,1.4067,1.296036192729732
7,2020-04-21,1.4199,1.2963939648037246
7,2020-04-22,1.4132,1.294367932807173
7,2020-04-23,1.4028,1.294842836962961
7,2020-04-24,1.4098,1.2940293969557457
7,2020-04-27,1.4042,1.292483965807462
8,2020-04-28,1.3992,1.2923058566863979
