Sample,Date,Actual,Predicted
1,2018-05-10,1.2787,1.2806474
1,2018-05-11,1.2781,1.2805437
1,2018-05-14,1.2761,1.2846106
1,2018-05-15,1.2868,1.2854798
1,2018-05-16,1.2828,1.2872095
1,2018-05-17,1.2815,1.2880157
1,2018-05-18,1.2892,1.2854184
1,2018-05-21,1.2835,1.285459
1,2018-05-22,1.2775,1.2891909
1,2018-05-23,1.2882000000000002,1.2872624
2,2018-05-11,1.2781,1.2761925
2,2018-05-14,1.2761,1.2762141
2,2018-05-15,1.2868,1.2804867
2,2018-05-16,1.2828,1.2812786
2,2018-05-17,1.2815,1.2829679
2,2018-05-18,1.2892,1.2836717
2,2018-05-21,1.2835,1.2810822
2,2018-05-22,1.2775,1.2810292
2,2018-05-23,1.2882000000000002,1.285069
2,2018-05-24,1.2907,1.2830993
3,2018-05-14,1.2761,1.2748337
3,2018-05-15,1.2868,1.274456
3,2018-05-16,1.2828,1.278654
3,2018-05-17,1.2815,1.2795272
3,2018-05-18,1.2892,1.2812747
3,2018-05-21,1.2835,1.2815096
3,2018-05-22,1.2775,1.2790911
3,2018-05-23,1.2882000000000002,1.2787472
3,2018-05-24,1.2907,1.2828338
3,2018-05-25,1.2972,1.280986
4,2018-05-15,1.2868,1.283882
4,2018-05-16,1.2828,1.2811822
4,2018-05-17,1.2815,1.2851715
4,2018-05-18,1.2892,1.2865156
4,2018-05-21,1.2835,1.288491
4,2018-05-22,1.2775,1.2871362
4,2018-05-23,1.2882000000000002,1.285769
4,2018-05-24,1.2907,1.2843596
4,2018-05-25,1.2972,1.2879081
4,2018-05-29,1.3027,1.2863786
5,2018-05-16,1.2828,1.2862612
5,2018-05-17,1.2815,1.283596
5,2018-05-18,1.2892,1.2871561
5,2018-05-21,1.2835,1.2884861
5,2018-05-22,1.2775,1.2906922
5,2018-05-23,1.2882000000000002,1.2892201
5,2018-05-24,1.2907,1.2878493
5,2018-05-25,1.2972,1.2865143
5,2018-05-29,1.3027,1.2898543
5,2018-05-30,1.2842,1.288377
6,2018-05-17,1.2815,1.2843405
6,2018-05-18,1.2892,1.2823852
6,2018-05-21,1.2835,1.2858053
6,2018-05-22,1.2775,1.2869582
6,2018-05-23,1.2882000000000002,1.2892209
6,2018-05-24,1.2907,1.2881722
6,2018-05-25,1.2972,1.2865208
6,2018-05-29,1.3027,1.2855529
6,2018-05-30,1.2842,1.2889295
6,2018-05-31,1.297,1.287332
7,2018-05-18,1.2892,1.2883093
7,2018-05-21,1.2835,1.2855133
7,2018-05-22,1.2775,1.2889795
7,2018-05-23,1.2882000000000002,1.2902569
7,2018-05-24,1.2907,1.2926345
7,2018-05-25,1.2972,1.2910472
