Sample,Date,Actual,Predicted
1,2020-01-16,1.3042,1.298684
1,2020-01-17,1.3074,1.2997109
1,2020-01-21,1.3068,1.300443
1,2020-01-22,1.3135,1.3007343
1,2020-01-23,1.3144,1.3011068
2,2020-01-17,1.3074,1.2983915
2,2020-01-21,1.3068,1.2994022
2,2020-01-22,1.3135,1.3000685
2,2020-01-23,1.3144,1.3004267
2,2020-01-24,1.3146,1.300709
3,2020-01-21,1.3068,1.3005018
3,2020-01-22,1.3135,1.3014176
3,2020-01-23,1.3144,1.3017842
3,2020-01-24,1.3146,1.3022796
3,2020-01-27,1.3176,1.3023996
4,2020-01-22,1.3135,1.3009987
4,2020-01-23,1.3144,1.3019277
4,2020-01-24,1.3146,1.302346
4,2020-01-27,1.3176,1.3027635
4,2020-01-28,1.3174,1.3029584
5,2020-01-23,1.3144,1.3056108
5,2020-01-24,1.3146,1.3064027
5,2020-01-27,1.3176,1.306438
5,2020-01-28,1.3174,1.3069828
5,2020-01-29,1.3201,1.3070272
6,2020-01-24,1.3146,1.3078839
6,2020-01-27,1.3176,1.3087306
6,2020-01-28,1.3174,1.3088853
6,2020-01-29,1.3201,1.3092842
6,2020-01-30,1.3216,1.3094959
7,2020-01-27,1.3176,1.308046
7,2020-01-28,1.3174,1.3090289
7,2020-01-29,1.3201,1.3094461
7,2020-01-30,1.3216,1.3096695
7,2020-01-31,1.322,1.310099
8,2020-01-28,1.3174,1.3100964
8,2020-01-29,1.3201,1.3110547
8,2020-01-30,1.3216,1.3114425
8,2020-01-31,1.322,1.3116988
8,2020-02-03,1.3295,1.3120888
9,2020-01-29,1.3201,1.31049
9,2020-01-30,1.3216,1.311514
9,2020-01-31,1.322,1.3120272
9,2020-02-03,1.3295,1.3122396
9,2020-02-04,1.3266,1.3126659
10,2020-01-30,1.3216,1.3123368
10,2020-01-31,1.322,1.3133323
10,2020-02-03,1.3295,1.3137492
10,2020-02-04,1.3266,1.314025
10,2020-02-05,1.3294,1.3143523
11,2020-01-31,1.322,1.31395
11,2020-02-03,1.3295,1.3149397
11,2020-02-04,1.3266,1.315348
11,2020-02-05,1.3294,1.3156197
11,2020-02-06,1.3292,1.3159293
12,2020-02-03,1.3295,1.3145064
12,2020-02-04,1.3266,1.3155254
12,2020-02-05,1.3294,1.3160251
12,2020-02-06,1.3292,1.3162357
12,2020-02-07,1.3304,1.3165791
13,2020-02-04,1.3266,1.3199719
13,2020-02-05,1.3294,1.3208168
13,2020-02-06,1.3292,1.3208611
13,2020-02-07,1.3304,1.3212683
13,2020-02-10,1.3323,1.3213689
14,2020-02-05,1.3294,1.3197428
14,2020-02-06,1.3292,1.3207449
14,2020-02-07,1.3304,1.3211939
14,2020-02-10,1.3323,1.3213317
14,2020-02-11,1.3299,1.3217071
15,2020-02-06,1.3292,1.320883
15,2020-02-07,1.3304,1.3218962
15,2020-02-10,1.3323,1.3223568
15,2020-02-11,1.3299,1.322478
15,2020-02-12,1.3243,1.3228505
16,2020-02-07,1.3304,1.3214092
16,2020-02-10,1.3323,1.3224497
16,2020-02-11,1.3299,1.3229747
16,2020-02-12,1.3243,1.3230778
16,2020-02-13,1.3255,1.3234586
17,2020-02-10,1.3323,1.3221484
17,2020-02-11,1.3299,1.3231848
17,2020-02-12,1.3243,1.3236421
17,2020-02-13,1.3255,1.323787
17,2020-02-14,1.3251,1.32407
18,2020-02-11,1.3299,1.3239988
18,2020-02-12,1.3243,1.3249857
18,2020-02-13,1.3255,1.3253059
18,2020-02-14,1.3251,1.3255119
18,2020-02-18,1.3256,1.3257042
19,2020-02-12,1.3243,1.3226035
19,2020-02-13,1.3255,1.3236941
19,2020-02-14,1.3251,1.3242517
19,2020-02-18,1.3256,1.3243184
19,2020-02-19,1.3232,1.3246412
20,2020-02-13,1.3255,1.3181636
20,2020-02-14,1.3251,1.3193556
20,2020-02-18,1.3256,1.3203031
20,2020-02-19,1.3232,1.3202152
20,2020-02-20,1.3259000000000003,1.3206794
21,2020-02-14,1.3251,1.317826
21,2020-02-18,1.3256,1.3188871
21,2020-02-19,1.3232,1.3194964
21,2020-02-20,1.3259000000000003,1.3196548
21,2020-02-21,1.3217,1.319822
22,2020-02-18,1.3256,1.318174
22,2020-02-19,1.3232,1.3191483
22,2020-02-20,1.3259000000000003,1.3194544
22,2020-02-21,1.3217,1.3197671
22,2020-02-24,1.3282,1.3197384
23,2020-02-19,1.3232,1.3186682
23,2020-02-20,1.3259000000000003,1.3196139
23,2020-02-21,1.3217,1.3197404
23,2020-02-24,1.3282,1.3200862
23,2020-02-25,1.3285,1.3200219
24,2020-02-20,1.3259000000000003,1.3172094
24,2020-02-21,1.3217,1.3181884
24,2020-02-24,1.3282,1.318492
24,2020-02-25,1.3285,1.3187052
24,2020-02-26,1.3321,1.3187737
25,2020-02-21,1.3217,1.3185788
25,2020-02-24,1.3282,1.3194643
25,2020-02-25,1.3285,1.319543
25,2020-02-26,1.3321,1.3198502
25,2020-02-27,1.3356,1.3198152
26,2020-02-24,1.3282,1.3165313
26,2020-02-25,1.3285,1.317501
26,2020-02-26,1.3321,1.317874
26,2020-02-27,1.3356,1.3180219
26,2020-02-28,1.3411,1.3181633
27,2020-02-25,1.3285,1.3201535
27,2020-02-26,1.3321,1.3209435
27,2020-02-27,1.3356,1.3208525
27,2020-02-28,1.3411,1.3212332
27,2020-03-02,1.3334,1.3211142
28,2020-02-26,1.3321,1.3220198
28,2020-02-27,1.3356,1.3228195
28,2020-02-28,1.3411,1.32278
28,2020-03-02,1.3334,1.323089
