Date,Actual,Predicted
2020-01-17,1.3074,1.3012365
2020-01-21,1.3068,1.3013226
2020-01-22,1.3135,1.3014805
2020-01-23,1.3144,1.3022195
2020-01-24,1.3146,1.303969
2020-01-27,1.3176,1.3061745
2020-01-28,1.3174,1.3083054
2020-01-29,1.3201,1.3107572
2020-01-30,1.3216,1.3118577
2020-01-31,1.322,1.3131915
2020-02-03,1.3295,1.3153626
2020-02-04,1.3266,1.317023
2020-02-05,1.3294,1.3189697
2020-02-06,1.3292,1.3208773
2020-02-07,1.3304,1.3228106
2020-02-10,1.3323,1.3246782
2020-02-11,1.3299,1.3249468
2020-02-12,1.3243,1.325938
2020-02-13,1.3255,1.3258415
2020-02-14,1.3251,1.3255696
2020-02-18,1.3256,1.3243701
2020-02-19,1.3232,1.3223864
2020-02-20,1.3259,1.3210062
2020-02-21,1.3217,1.3212254
2020-02-24,1.3282,1.320776
2020-02-25,1.3285,1.3208511
2020-02-26,1.3321,1.3209754
2020-02-27,1.3356,1.3222698
2020-02-28,1.3411,1.3238639
2020-03-02,1.3334,1.3265134
2020-03-03,1.3352,1.3283751
2020-03-04,1.3425,1.3307363
2020-03-05,1.3403,1.3324744
2020-03-06,1.342,1.3330126
2020-03-09,1.3527,1.3330178
2020-03-10,1.3775,1.3361456
2020-03-11,1.3748,1.3413259
2020-03-12,1.3869,1.3465598
2020-03-13,1.3991,1.3555238
2020-03-16,1.3974,1.3676058
2020-03-17,1.4188,1.377505
2020-03-18,1.4529,1.3840699
2020-03-19,1.4463,1.3958867
2020-03-20,1.4363,1.407211
2020-03-23,1.4539,1.4181831
2020-03-24,1.448,1.4323876
2020-03-25,1.4333,1.4401361
2020-03-26,1.4045,1.4370308
2020-03-27,1.4075,1.4338366
2020-03-30,1.4169,1.430347
2020-03-31,1.4123,1.4196388
2020-04-01,1.4222,1.4110824
2020-04-02,1.411,1.4058598
2020-04-03,1.4132,1.4089928
2020-04-06,1.4125,1.4109046
2020-04-07,1.3971,1.4103638
2020-04-08,1.4015,1.4091856
2020-04-09,1.398,1.4046787
2020-04-10,1.3967,1.4022838
2020-04-13,1.3953,1.3980649
2020-04-14,1.3903,1.3939502
2020-04-15,1.4105,1.3934058
2020-04-16,1.4141,1.3926269
2020-04-17,1.4026,1.3939081
2020-04-20,1.4067,1.3959149
2020-04-21,1.4199,1.3996885
2020-04-22,1.4132,1.40556
2020-04-23,1.4028,1.4055326
2020-04-24,1.4098,1.4045136
2020-04-27,1.4042,1.4070785
2020-04-28,1.3992,1.4074038
2020-04-29,1.3936,1.4028774
2020-04-30,1.3911,1.3997382
2020-05-01,1.4102,1.3958132
2020-05-04,1.4088,1.3928442
2020-05-05,1.4025,1.3918196
2020-05-06,1.4143,1.3927641
2020-05-07,1.3972,1.3972304
2020-05-08,1.391,1.4012219
2020-05-11,1.4024,1.3986355
2020-05-12,1.4009,1.3967581
2020-05-13,1.4089,1.3954331
2020-05-14,1.4086,1.3916191
2020-05-15,1.409,1.3938235
2020-05-18,1.3966,1.3981998
2020-05-19,1.3879,1.3990873
2020-05-20,1.3911,1.3989608
2020-05-21,1.3946,1.3955357
2020-05-22,1.4021,1.3910656
2020-05-26,1.3821,1.3868608
2020-05-27,1.3786,1.3855276
2020-05-28,1.3763,1.3859383
2020-05-29,1.3809,1.384265
2020-06-01,1.3603,1.3788254
2020-06-02,1.3515,1.3707478
2020-06-03,1.3489,1.3667136
2020-06-04,1.3513,1.361784
2020-06-05,1.342,1.3552835
2020-06-08,1.3379,1.3461695
2020-06-09,1.3433,1.3420001
2020-06-10,1.3388,1.3399471
2020-06-11,1.3559,1.3375263
2020-06-12,1.3587,1.3357532
2020-06-15,1.3618,1.3376348
2020-06-16,1.3562,1.3419375
2020-06-17,1.357,1.3460261
2020-06-18,1.3593,1.3514783
2020-06-19,1.3601,1.3522587
2020-06-22,1.3544,1.352044
2020-06-23,1.3509,1.3508326
2020-06-24,1.3601,1.3508604
2020-06-25,1.366,1.350834
2020-06-26,1.3695,1.3503894
2020-06-29,1.3686,1.3507491
2020-06-30,1.3614,1.3539324
2020-07-01,1.3579,1.3579184
2020-07-02,1.3591,1.3591603
2020-07-06,1.3546,1.3580477
2020-07-07,1.3587,1.3548498
2020-07-08,1.3539,1.3518553
2020-07-09,1.3577,1.350425
2020-07-10,1.3591,1.3500332
2020-07-13,1.3568,1.3495473
2020-07-14,1.3606,1.3501003
2020-07-15,1.3521,1.3501227
2020-07-16,1.3539,1.3508941
2020-07-17,1.3572,1.3504812
2020-07-20,1.3531,1.3496416
2020-07-21,1.3443,1.3487519
2020-07-22,1.3407,1.3463391
2020-07-23,1.337,1.3454849
2020-07-24,1.3425,1.3426526
2020-07-27,1.3383,1.3382131
2020-07-28,1.3364,1.3344312
2020-07-29,1.337,1.3328341
2020-07-30,1.344,1.3323046
2020-07-31,1.3384,1.3328527
2020-08-03,1.3408,1.3315037
2020-08-04,1.3366,1.3320613
2020-08-05,1.3254,1.3329258
2020-08-06,1.3285,1.3323619
2020-08-07,1.3393,1.3294066
2020-08-10,1.335,1.3278248
2020-08-11,1.3296,1.3253169
2020-08-12,1.325,1.3244715
2020-08-13,1.3214,1.326384
2020-08-14,1.325,1.326127
2020-08-17,1.3202,1.3223041
2020-08-18,1.3181,1.3188951
2020-08-19,1.3173,1.3166543
2020-08-20,1.3177,1.3154284
2020-08-21,1.3201,1.3145602
2020-08-24,1.322,1.3127359
2020-08-25,1.3191,1.3124955
2020-08-26,1.3145,1.3129109
2020-08-27,1.3111,1.3133593
2020-08-28,1.3106,1.3130816
2020-08-31,1.3034,1.3113779
2020-09-01,1.3043,1.3087096
2020-09-02,1.3061,1.3055851
2020-09-03,1.3131,1.3033663
2020-09-04,1.3095,1.3021863
2020-09-08,1.3194,1.3015743
2020-09-09,1.3163,1.3039727
2020-09-10,1.3162,1.3066883
2020-09-11,1.3183,1.3091868
2020-09-14,1.3172,1.3104558
2020-09-15,1.3199,1.312384
2020-09-16,1.3164,1.3120326
2020-09-17,1.3204,1.3124868
2020-09-18,1.3179,1.3131337
2020-09-21,1.3299,1.3132366
2020-09-22,1.3313,1.3144267
2020-09-23,1.3373,1.315777
2020-09-24,1.337,1.3193167
2020-09-25,1.3409,1.3229711
2020-09-28,1.3377,1.3281173
2020-09-29,1.3411,1.3303089
2020-09-30,1.3323,1.3325223
2020-10-01,1.3289,1.33263
2020-10-02,1.332,1.3320909
2020-10-05,1.3269,1.3301528
2020-10-06,1.3275,1.3279144
2020-10-07,1.3283,1.3246292
2020-10-08,1.3222,1.3236499
2020-10-09,1.312,1.3227961
2020-10-13,1.3138,1.3201852
2020-10-14,1.3147,1.3181463
2020-10-15,1.3243,1.3148736
2020-10-16,1.3194,1.3116282
2020-10-19,1.3155,1.3104681
2020-10-20,1.312,1.3122474
2020-10-21,1.313,1.3133575
2020-10-22,1.3132,1.3133825
2020-10-23,1.3147,1.3104215
2020-10-26,1.3214,1.3087841
2020-10-27,1.3156,1.3088777
2020-10-28,1.3321,1.3099759
2020-10-29,1.3365,1.3123615
2020-10-30,1.3332,1.315906
2020-11-02,1.3255,1.320296
2020-11-03,1.3132,1.3231604
2020-11-04,1.3113,1.3262448
2020-11-05,1.3045,1.3231434
2020-11-06,1.3029,1.3168144
2020-11-09,1.2978,1.3099387
2020-11-10,1.2998,1.3042389
2020-11-12,1.3107,1.3010204
2020-11-13,1.3164,1.2987391
2020-11-16,1.3072,1.2991196
2020-11-17,1.3107,1.3006357
2020-11-18,1.3049,1.3044057
2020-11-19,1.3083,1.3070453
2020-11-20,1.3075,1.3062298
2020-11-23,1.3097,1.3039333
2020-11-24,1.3027,1.3040389
2020-11-25,1.2994,1.3030671
2020-11-30,1.2982,1.3031101
2020-12-01,1.2958,1.3002148
2020-12-02,1.2934,1.2978278
2020-12-03,1.2875,1.2943425
2020-12-04,1.2797,1.2919058
2020-12-07,1.2796,1.2891213
2020-12-08,1.2808,1.2855593
2020-12-09,1.2791,1.2818049
2020-12-10,1.2727,1.2781808
2020-12-11,1.2767,1.2756963
2020-12-14,1.2787,1.2751225
2020-12-15,1.273,1.2742808
2020-12-16,1.2755,1.2727517
2020-12-17,1.2715,1.2720027
2020-12-18,1.2776,1.2724568
2020-12-21,1.2836,1.2718656
2020-12-22,1.2918,1.2714615
2020-12-23,1.2841,1.2736295
2020-12-28,1.2871,1.2759863
2020-12-29,1.2794,1.280095
2020-12-30,1.2764,1.2821628
2020-12-31,1.2753,1.2815984
2021-01-04,1.2781,1.284932
2021-01-05,1.27,1.2829924
2021-01-06,1.2685,1.2797312
2021-01-07,1.272,1.2781321
2021-01-08,1.2698,1.2770071
2021-01-11,1.2768,1.2755724
2021-01-12,1.2745,1.273872
2021-01-13,1.271,1.2747254
2021-01-14,1.2633,1.2759923
2021-01-15,1.2709,1.2759361
2021-01-19,1.2721,1.2759551
2021-01-21,1.2634,1.2738111
2021-01-22,1.2711,1.27195
2021-01-25,1.2747,1.2716231
2021-01-26,1.2711,1.2733964
2021-01-27,1.2782,1.2731649
2021-01-28,1.2812,1.2736923
2021-01-29,1.2776,1.2770884
2021-02-01,1.2826,1.278127
2021-02-02,1.2815,1.2795988
2021-02-03,1.2765,1.2821347
2021-02-04,1.283,1.2825012
2021-02-05,1.2781,1.2824885
2021-02-08,1.2755,1.2829616
2021-02-09,1.2713,1.2817931
2021-02-10,1.2678,1.280655
2021-02-11,1.2689,1.2797346
2021-02-12,1.2694,1.2765313
2021-02-16,1.2694,1.2741474
2021-02-17,1.2712,1.2724292
2021-02-18,1.2706,1.2720398
2021-02-19,1.2596,1.2726618
2021-02-22,1.2606,1.2723503
2021-02-23,1.261,1.2713798
2021-02-24,1.2537,1.2695649
2021-02-25,1.2528,1.2662203
2021-02-26,1.2698,1.2627596
2021-03-01,1.2652,1.2630212
2021-03-02,1.2612,1.2628022
2021-03-03,1.2611,1.2632821
2021-03-04,1.2584,1.2663052
2021-03-05,1.2666,1.2684945
2021-03-08,1.2672,1.2663633
2021-03-09,1.2652,1.2657772
2021-03-10,1.2641,1.2666113
2021-03-11,1.2558,1.2678984
2021-03-12,1.2471,1.2691768
2021-03-15,1.249,1.2669005
2021-03-16,1.2451,1.2633584
2021-03-17,1.2475,1.2589889
2021-03-18,1.2434,1.2544912
2021-03-19,1.2511,1.251949
2021-03-22,1.2528,1.2518362
2021-03-23,1.2548,1.2517427
2021-03-24,1.2551,1.2532194
2021-03-25,1.2613,1.2548828
2021-03-26,1.2577,1.2582096
