Date,Actual,Predicted
2020-01-17,1.3074,1.3713937
2020-01-21,1.3068,1.3712419
2020-01-22,1.3135,1.371238
2020-01-23,1.3144,1.3712826
2020-01-24,1.3146,1.3707849
2020-01-27,1.3176,1.3696762
2020-01-28,1.3174,1.3701376
2020-01-29,1.3201,1.370242
2020-01-30,1.3216,1.3702163
2020-01-31,1.322,1.3694832
2020-02-03,1.3295,1.3763947
2020-02-04,1.3266,1.3768936
2020-02-05,1.3294,1.3775709
2020-02-06,1.3292,1.3774034
2020-02-07,1.3304,1.3772001
2020-02-10,1.3323,1.3770066
2020-02-11,1.3299,1.3769416
2020-02-12,1.3243,1.3768117
2020-02-13,1.3255,1.3764061
2020-02-14,1.3251,1.3763314
2020-02-18,1.3256,1.376304
2020-02-19,1.3232,1.3760141
2020-02-20,1.3259,1.3754616
2020-02-21,1.3217,1.3752868
2020-02-24,1.3282,1.3727996
2020-02-25,1.3285,1.3728327
2020-02-26,1.3321,1.3728527
2020-02-27,1.3356,1.3710166
2020-02-28,1.3411,1.3703959
2020-03-02,1.3334,1.3012729
2020-03-03,1.3352,1.3046567
2020-03-04,1.3425,1.2864842
2020-03-05,1.3403,1.2866637
2020-03-06,1.342,1.2807499
2020-03-09,1.3527,1.2804517
2020-03-10,1.3775,1.2813382
2020-03-11,1.3748,1.2822924
2020-03-12,1.3869,1.2800716
2020-03-13,1.3991,1.2915541
2020-03-16,1.3974,1.3002287
2020-03-17,1.4188,1.309811
2020-03-18,1.4529,1.3097222
2020-03-19,1.4463,1.3164148
2020-03-20,1.4363,1.3140186
2020-03-23,1.4539,1.3087031
2020-03-24,1.448,1.3114754
2020-03-25,1.4333,1.3109652
2020-03-26,1.4045,1.3162119
2020-03-27,1.4075,1.3181425
2020-03-30,1.4169,1.3185544
2020-03-31,1.4123,1.318308
2020-04-01,1.4222,1.2754995
2020-04-02,1.411,1.2752622
2020-04-03,1.4132,1.2736282
2020-04-06,1.4125,1.2692693
2020-04-07,1.3971,1.2673459
2020-04-08,1.4015,1.2666445
2020-04-09,1.398,1.2635196
2020-04-10,1.3967,1.2635196
2020-04-13,1.3953,1.2637603
2020-04-14,1.3903,1.2590139
2020-04-15,1.4105,1.2598071
2020-04-16,1.4141,1.2599579
2020-04-17,1.4026,1.2597251
2020-04-20,1.4067,1.2592753
2020-04-21,1.4199,1.2608674
2020-04-22,1.4132,1.2575412
2020-04-23,1.4028,1.2557833
2020-04-24,1.4098,1.2546486
2020-04-27,1.4042,1.2542932
2020-04-28,1.3992,1.2533498
2020-04-29,1.3936,1.2519486
2020-04-30,1.3911,1.2519712
2020-05-01,1.4102,1.2941427
2020-05-04,1.4088,1.2909858
2020-05-05,1.4025,1.2910949
2020-05-06,1.4143,1.2902378
2020-05-07,1.3972,1.2911459
2020-05-08,1.391,1.2910064
2020-05-11,1.4024,1.2895824
2020-05-12,1.4009,1.2896452
2020-05-13,1.4089,1.2909989
2020-05-14,1.4086,1.290218
2020-05-15,1.409,1.2884134
2020-05-18,1.3966,1.2881751
2020-05-19,1.3879,1.2877368
2020-05-20,1.3911,1.2866975
2020-05-21,1.3946,1.288051
2020-05-22,1.4021,1.288119
2020-05-26,1.3821,1.2879494
2020-05-27,1.3786,1.2888367
2020-05-28,1.3763,1.2875707
2020-05-29,1.3809,1.2879097
2020-06-01,1.3603,1.345565
2020-06-02,1.3515,1.3447708
2020-06-03,1.3489,1.3456633
2020-06-04,1.3513,1.3462564
2020-06-05,1.342,1.345568
2020-06-08,1.3379,1.346357
2020-06-09,1.3433,1.3459556
2020-06-10,1.3388,1.3458502
2020-06-11,1.3559,1.3456117
2020-06-12,1.3587,1.3450369
2020-06-15,1.3618,1.3460199
2020-06-16,1.3562,1.3451644
2020-06-17,1.357,1.3461255
2020-06-18,1.3593,1.3449612
2020-06-19,1.3601,1.3449663
2020-06-22,1.3544,1.344037
2020-06-23,1.3509,1.3434151
2020-06-24,1.3601,1.3424448
2020-06-25,1.366,1.3433236
2020-06-26,1.3695,1.343368
2020-06-29,1.3686,1.3425434
2020-06-30,1.3614,1.3425562
2020-07-01,1.3579,1.3341873
2020-07-02,1.3591,1.3347361
2020-07-06,1.3546,1.3347601
2020-07-07,1.3587,1.3344718
2020-07-08,1.3539,1.3335767
2020-07-09,1.3577,1.332901
2020-07-10,1.3591,1.3330855
2020-07-13,1.3568,1.3329606
2020-07-14,1.3606,1.332854
2020-07-15,1.3521,1.3321339
2020-07-16,1.3539,1.3323419
2020-07-17,1.3572,1.3321495
2020-07-20,1.3531,1.3318185
2020-07-21,1.3443,1.3314115
2020-07-22,1.3407,1.3305745
2020-07-23,1.337,1.3291614
2020-07-24,1.3425,1.3285248
2020-07-27,1.3383,1.326729
2020-07-28,1.3364,1.3268694
2020-07-29,1.337,1.3260936
2020-07-30,1.344,1.3259289
2020-07-31,1.3384,1.3259026
2020-08-03,1.3408,1.3197076
2020-08-04,1.3366,1.3192331
2020-08-05,1.3254,1.3167639
2020-08-06,1.3285,1.3164443
2020-08-07,1.3393,1.3162354
2020-08-10,1.335,1.3172369
2020-08-11,1.3296,1.3183024
2020-08-12,1.325,1.3214426
2020-08-13,1.3214,1.3216648
2020-08-14,1.325,1.3209221
2020-08-17,1.3202,1.3204656
2020-08-18,1.3181,1.31849
2020-08-19,1.3173,1.3187835
2020-08-20,1.3177,1.3214757
2020-08-21,1.3201,1.3217164
2020-08-24,1.322,1.321096
2020-08-25,1.3191,1.322381
2020-08-26,1.3145,1.3226451
2020-08-27,1.3111,1.322034
2020-08-28,1.3106,1.3217812
2020-08-31,1.3034,1.3223497
2020-09-01,1.3043,1.2928613
2020-09-02,1.3061,1.2942739
2020-09-03,1.3131,1.2945411
2020-09-04,1.3095,1.2948489
2020-09-08,1.3194,1.2946434
2020-09-09,1.3163,1.2941679
2020-09-10,1.3162,1.2933036
2020-09-11,1.3183,1.2932117
2020-09-14,1.3172,1.2932717
2020-09-15,1.3199,1.2925135
2020-09-16,1.3164,1.2925674
2020-09-17,1.3204,1.2934349
2020-09-18,1.3179,1.2922214
2020-09-21,1.3299,1.2935219
2020-09-22,1.3313,1.2946349
2020-09-23,1.3373,1.2956921
2020-09-24,1.337,1.2974597
2020-09-25,1.3409,1.296214
2020-09-28,1.3377,1.2971504
2020-09-29,1.3411,1.2956289
2020-09-30,1.3323,1.2965058
2020-10-01,1.3289,1.2919137
2020-10-02,1.332,1.2908953
2020-10-05,1.3269,1.2911365
2020-10-06,1.3275,1.2906394
2020-10-07,1.3283,1.2918099
2020-10-08,1.3222,1.2916015
2020-10-09,1.312,1.2911881
2020-10-13,1.3138,1.2917418
2020-10-14,1.3147,1.2924453
2020-10-15,1.3243,1.2922353
2020-10-16,1.3194,1.2918403
2020-10-19,1.3155,1.2913692
2020-10-20,1.312,1.2918524
2020-10-21,1.313,1.2913198
2020-10-22,1.3132,1.2915695
2020-10-23,1.3147,1.2919283
2020-10-26,1.3214,1.2922041
