Sample,Date,Actual,Predicted
1,2020-01-14,1.3056,1.3071395
1,2020-01-15,1.304,1.3079495
1,2020-01-16,1.3042,1.3072542
1,2020-01-17,1.3074,1.3057172
1,2020-01-21,1.3068,1.3055335
1,2020-01-22,1.3135,1.3041103
1,2020-01-23,1.3144,1.3020527
1,2020-01-24,1.3146,1.3026354
1,2020-01-27,1.3176,1.3026692
1,2020-01-28,1.3174,1.30489
2,2020-01-15,1.304,1.3069649
2,2020-01-16,1.3042,1.3077879
2,2020-01-17,1.3074,1.3070724
2,2020-01-21,1.3068,1.3056133
2,2020-01-22,1.3135,1.3053194
2,2020-01-23,1.3144,1.303951
2,2020-01-24,1.3146,1.3019104
2,2020-01-27,1.3176,1.3024597
2,2020-01-28,1.3174,1.3025808
2,2020-01-29,1.3201,1.304873
3,2020-01-16,1.3042,1.3058424
3,2020-01-17,1.3074,1.3067316
3,2020-01-21,1.3068,1.3061935
3,2020-01-22,1.3135,1.3047149
3,2020-01-23,1.3144,1.3043914
3,2020-01-24,1.3146,1.3030607
3,2020-01-27,1.3176,1.3010141
3,2020-01-28,1.3174,1.3014165
3,2020-01-29,1.3201,1.301753
3,2020-01-30,1.3216,1.3039964
4,2020-01-17,1.3074,1.3057652
4,2020-01-21,1.3068,1.3067055
4,2020-01-22,1.3135,1.3060229
4,2020-01-23,1.3144,1.3046744
4,2020-01-24,1.3146,1.3042037
4,2020-01-27,1.3176,1.3029705
4,2020-01-28,1.3174,1.3009212
4,2020-01-29,1.3201,1.3013425
4,2020-01-30,1.3216,1.3017515
4,2020-01-31,1.322,1.3039737
5,2020-01-21,1.3068,1.3089569
5,2020-01-22,1.3135,1.3099128
5,2020-01-23,1.3144,1.3085173
5,2020-01-24,1.3146,1.3075424
5,2020-01-27,1.3176,1.3068557
5,2020-01-28,1.3174,1.3057401
5,2020-01-29,1.3201,1.3037494
5,2020-01-30,1.3216,1.3044901
5,2020-01-31,1.322,1.3045586
5,2020-02-03,1.3295,1.3068339
6,2020-01-22,1.3135,1.3087411
6,2020-01-23,1.3144,1.3097636
6,2020-01-24,1.3146,1.3087757
6,2020-01-27,1.3176,1.3075907
6,2020-01-28,1.3174,1.3072023
6,2020-01-29,1.3201,1.3058959
6,2020-01-30,1.3216,1.30392
6,2020-01-31,1.322,1.3045201
6,2020-02-03,1.3295,1.3045852
6,2020-02-04,1.3266,1.3067957
7,2020-01-23,1.3144,1.3151953
7,2020-01-24,1.3146,1.3159461
7,2020-01-27,1.3176,1.3138431
7,2020-01-28,1.3174,1.3132004
7,2020-01-29,1.3201,1.3126093
7,2020-01-30,1.3216,1.3112816
7,2020-01-31,1.322,1.3093117
7,2020-02-03,1.3295,1.3104477
7,2020-02-04,1.3266,1.3100717
7,2020-02-05,1.3294,1.3122449
8,2020-01-24,1.3146,1.3162372
8,2020-01-27,1.3176,1.3170776
8,2020-01-28,1.3174,1.3155278
8,2020-01-29,1.3201,1.3145372
8,2020-01-30,1.3216,1.3144853
8,2020-01-31,1.322,1.312759
8,2020-02-03,1.3295,1.310793
8,2020-02-04,1.3266,1.3117447
8,2020-02-05,1.3294,1.3112516
8,2020-02-06,1.3292,1.3134329
9,2020-01-27,1.3176,1.3169361
9,2020-01-28,1.3174,1.3177041
9,2020-01-29,1.3201,1.3164455
9,2020-01-30,1.3216,1.3152184
9,2020-01-31,1.322,1.3152977
9,2020-02-03,1.3295,1.3134121
9,2020-02-04,1.3266,1.3114284
9,2020-02-05,1.3294,1.312238
9,2020-02-06,1.3292,1.3118124
9,2020-02-07,1.3304,1.3140891
10,2020-01-28,1.3174,1.3192549
10,2020-01-29,1.3201,1.3199223
10,2020-01-30,1.3216,1.3184509
10,2020-01-31,1.322,1.3173296
10,2020-02-03,1.3295,1.3173274
10,2020-02-04,1.3266,1.3154026
10,2020-02-05,1.3294,1.3134164
10,2020-02-06,1.3292,1.3143033
10,2020-02-07,1.3304,1.3138387
10,2020-02-10,1.3323,1.3161925
11,2020-01-29,1.3201,1.3193499
11,2020-01-30,1.3216,1.3201016
11,2020-01-31,1.322,1.3189421
11,2020-02-03,1.3295,1.3176618
11,2020-02-04,1.3266,1.317754
11,2020-02-05,1.3294,1.3157544
11,2020-02-06,1.3292,1.3137746
11,2020-02-07,1.3304,1.314483
11,2020-02-10,1.3323,1.3141187
11,2020-02-11,1.3299,1.3165387
12,2020-01-30,1.3216,1.3218378
12,2020-01-31,1.322,1.3225241
12,2020-02-03,1.3295,1.3210344
12,2020-02-04,1.3266,1.3199445
12,2020-02-05,1.3294,1.3198719
12,2020-02-06,1.3292,1.3179117
12,2020-02-07,1.3304,1.3159417
12,2020-02-10,1.3323,1.3167516
12,2020-02-11,1.3299,1.3163515
12,2020-02-12,1.3243,1.3188015
13,2020-01-31,1.322,1.3232149
13,2020-02-03,1.3295,1.3239559
13,2020-02-04,1.3266,1.3225267
13,2020-02-05,1.3294,1.3214236
13,2020-02-06,1.3292,1.3214169
13,2020-02-07,1.3304,1.3193737
13,2020-02-10,1.3323,1.317412
13,2020-02-11,1.3299,1.3181804
13,2020-02-12,1.3243,1.3177725
13,2020-02-13,1.3255,1.3202342
14,2020-02-03,1.3295,1.3239603
14,2020-02-04,1.3266,1.324735
14,2020-02-05,1.3294,1.3234493
14,2020-02-06,1.3292,1.3222686
14,2020-02-07,1.3304,1.3222876
14,2020-02-10,1.3323,1.3201944
14,2020-02-11,1.3299,1.3182317
14,2020-02-12,1.3243,1.3189108
14,2020-02-13,1.3255,1.3185652
14,2020-02-14,1.3251,1.3210545
15,2020-02-04,1.3266,1.3309369
15,2020-02-05,1.3294,1.3314964
15,2020-02-06,1.3292,1.329049
15,2020-02-07,1.3304,1.3284814
15,2020-02-10,1.3323,1.3282577
15,2020-02-11,1.3299,1.3261782
15,2020-02-12,1.3243,1.3242241
15,2020-02-13,1.3255,1.3254135
15,2020-02-14,1.3251,1.3246948
15,2020-02-18,1.3256,1.3271204
16,2020-02-05,1.3294,1.3285015
16,2020-02-06,1.3292,1.3293718
16,2020-02-07,1.3304,1.3282094
16,2020-02-10,1.3323,1.3269279
16,2020-02-11,1.3299,1.3273174
16,2020-02-12,1.3243,1.3248805
16,2020-02-13,1.3255,1.3228992
16,2020-02-14,1.3251,1.323537
16,2020-02-18,1.3256,1.3230512
16,2020-02-19,1.3232,1.3255053
17,2020-02-06,1.3292,1.3314475
17,2020-02-07,1.3304,1.33211
17,2020-02-10,1.3323,1.330464
17,2020-02-11,1.3299,1.3294023
17,2020-02-12,1.3243,1.3294696
17,2020-02-13,1.3255,1.3271418
17,2020-02-14,1.3251,1.3251363
17,2020-02-18,1.3256,1.3259416
17,2020-02-19,1.3232,1.3254666
17,2020-02-20,1.3259000000000003,1.3279805
18,2020-02-07,1.3304,1.3307422
18,2020-02-10,1.3323,1.3315343
18,2020-02-11,1.3299,1.3303721
18,2020-02-12,1.3243,1.3290954
18,2020-02-13,1.3255,1.3292735
18,2020-02-14,1.3251,1.3268653
18,2020-02-18,1.3256,1.3248665
18,2020-02-19,1.3232,1.325446
18,2020-02-20,1.3259000000000003,1.3251084
18,2020-02-21,1.3217,1.3276889
19,2020-02-10,1.3323,1.3324639
19,2020-02-11,1.3299,1.333204
19,2020-02-12,1.3243,1.3317828
19,2020-02-13,1.3255,1.3306572
19,2020-02-14,1.3251,1.3306117
19,2020-02-18,1.3256,1.3283069
19,2020-02-19,1.3232,1.3263291
19,2020-02-20,1.3259000000000003,1.3269573
19,2020-02-21,1.3217,1.3266413
19,2020-02-24,1.3282,1.3292602
20,2020-02-11,1.3299,1.3338126
20,2020-02-12,1.3243,1.3345845
20,2020-02-13,1.3255,1.3331262
20,2020-02-14,1.3251,1.3320531
20,2020-02-18,1.3256,1.3319879
20,2020-02-19,1.3232,1.3296553
20,2020-02-20,1.3259000000000003,1.3277014
20,2020-02-21,1.3217,1.3283244
20,2020-02-24,1.3282,1.3279896
20,2020-02-25,1.3285,1.3306189
21,2020-02-12,1.3243,1.3319179
21,2020-02-13,1.3255,1.3328167
21,2020-02-14,1.3251,1.3319777
21,2020-02-18,1.3256,1.3305836
21,2020-02-19,1.3232,1.3306147
21,2020-02-20,1.3259000000000003,1.3282342
21,2020-02-21,1.3217,1.3262825
21,2020-02-24,1.3282,1.3266069
21,2020-02-25,1.3285,1.3264892
21,2020-02-26,1.3321,1.3291737
22,2020-02-13,1.3255,1.3264222
22,2020-02-14,1.3251,1.3274679
22,2020-02-18,1.3256,1.3276068
22,2020-02-19,1.3232,1.3257456
