Date,Actual,Predicted
2020-01-17,1.3074,1.3035082
2020-01-21,1.3068,1.3034831
2020-01-22,1.3135,1.3035196
2020-01-23,1.3144,1.3039494
2020-01-24,1.3146,1.3055437
2020-01-27,1.3176,1.3076899
2020-01-28,1.3174,1.3098787
2020-01-29,1.3201,1.3123888
2020-01-30,1.3216,1.3133794
2020-01-31,1.322,1.3146329
2020-02-03,1.3295,1.3163323
2020-02-04,1.3266,1.3177028
2020-02-05,1.3294,1.31963
2020-02-06,1.3292,1.32149
2020-02-07,1.3304,1.3236107
2020-02-10,1.3323,1.3254752
2020-02-11,1.3299,1.3256344
2020-02-12,1.3243,1.3267233
2020-02-13,1.3255,1.3269961
2020-02-14,1.3251,1.3269801
2020-02-18,1.3256,1.3257813
2020-02-19,1.3232,1.3235548
2020-02-20,1.3259,1.3221806
2020-02-21,1.3217,1.3223717
2020-02-24,1.3282,1.322045
2020-02-25,1.3285,1.3218154
2020-02-26,1.3321,1.3217483
2020-02-27,1.3356,1.3226726
2020-02-28,1.3411,1.3239872
2020-03-02,1.3334,1.3269789
2020-03-03,1.3352,1.3291192
2020-03-04,1.3425,1.33171
2020-03-05,1.3403,1.3333623
2020-03-06,1.342,1.3335516
2020-03-09,1.3527,1.3331445
2020-03-10,1.3775,1.3360424
2020-03-11,1.3748,1.3397665
2020-03-12,1.3869,1.3438119
2020-03-13,1.3991,1.3525436
2020-03-16,1.3974,1.3644421
2020-03-17,1.4188,1.374424
2020-03-18,1.4529,1.3801464
2020-03-19,1.4463,1.3901639
2020-03-20,1.4363,1.3997366
2020-03-23,1.4539,1.4110785
2020-03-24,1.448,1.4272323
2020-03-25,1.4333,1.4358582
2020-03-26,1.4045,1.4327356
2020-03-27,1.4075,1.4319272
2020-03-30,1.4169,1.4311249
2020-03-31,1.4123,1.4197235
2020-04-01,1.4222,1.407062
2020-04-02,1.411,1.400441
2020-04-03,1.4132,1.4039112
2020-04-06,1.4125,1.4064698
2020-04-07,1.3971,1.4062015
2020-04-08,1.4015,1.4057207
2020-04-09,1.398,1.401596
2020-04-10,1.3967,1.399485
2020-04-13,1.3953,1.3949252
2020-04-14,1.3903,1.3906293
2020-04-15,1.4105,1.3904053
2020-04-16,1.4141,1.3889247
2020-04-17,1.4026,1.3889214
2020-04-20,1.4067,1.3905303
2020-04-21,1.4199,1.3950974
2020-04-22,1.4132,1.4012964
2020-04-23,1.4028,1.4004326
2020-04-24,1.4098,1.3995849
2020-04-27,1.4042,1.4031907
2020-04-28,1.3992,1.4038074
2020-04-29,1.3936,1.3990674
2020-04-30,1.3911,1.3963277
2020-05-01,1.4102,1.3945633
2020-05-04,1.4088,1.3906404
2020-05-05,1.4025,1.3883709
2020-05-06,1.4143,1.3890129
2020-05-07,1.3972,1.393778
2020-05-08,1.391,1.3986254
2020-05-11,1.4024,1.3967761
2020-05-12,1.4009,1.3951942
2020-05-13,1.4089,1.3933384
