Date,Actual,Predicted
2020-01-17,1.3074,1.3080707
2020-01-21,1.3068,1.3083272
2020-01-22,1.3135,1.3082662
2020-01-23,1.3144,1.3080522
2020-01-24,1.3146,1.3092651
2020-01-27,1.3176,1.3112329
2020-01-28,1.3174,1.3099456
2020-01-29,1.3201,1.3100506
2020-01-30,1.3216,1.3096297
2020-01-31,1.322,1.3117574
2020-02-03,1.3295,1.3061783
2020-02-04,1.3266,1.3042654
2020-02-05,1.3294,1.3027583
2020-02-06,1.3292,1.3023207
2020-02-07,1.3304,1.303037
2020-02-10,1.3323,1.3020109
2020-02-11,1.3299,1.3017195
2020-02-12,1.3243,1.3008151
2020-02-13,1.3255,1.3010077
2020-02-14,1.3251,1.3007581
2020-02-18,1.3256,1.3012275
2020-02-19,1.3232,1.3006694
2020-02-20,1.3259,1.3011059
2020-02-21,1.3217,1.3025626
2020-02-24,1.3282,1.3068336
2020-02-25,1.3285,1.3102323
2020-02-26,1.3321,1.3105314
2020-02-27,1.3356,1.3145305
2020-02-28,1.3411,1.3143163
2020-03-02,1.3334,1.3102317
2020-03-03,1.3352,1.3145969
2020-03-04,1.3425,1.2953056
2020-03-05,1.3403,1.2966312
2020-03-06,1.342,1.2896761
2020-03-09,1.3527,1.2826431
2020-03-10,1.3775,1.2829018
2020-03-11,1.3748,1.2835075
2020-03-12,1.3869,1.2839391
2020-03-13,1.3991,1.290643
2020-03-16,1.3974,1.2965572
2020-03-17,1.4188,1.3059125
2020-03-18,1.4529,1.3068547
2020-03-19,1.4463,1.3124094
2020-03-20,1.4363,1.3116071
2020-03-23,1.4539,1.30779
2020-03-24,1.448,1.314168
2020-03-25,1.4333,1.3174324
2020-03-26,1.4045,1.3229065
2020-03-27,1.4075,1.32601
2020-03-30,1.4169,1.3256576
2020-03-31,1.4123,1.3270643
2020-04-01,1.4222,1.2205793
2020-04-02,1.411,1.2189248
2020-04-03,1.4132,1.2196387
2020-04-06,1.4125,1.2129526
2020-04-07,1.3971,1.2127098
2020-04-08,1.4015,1.2095585
2020-04-09,1.398,1.2078291
2020-04-10,1.3967,1.2078291
2020-04-13,1.3953,1.208858
2020-04-14,1.3903,1.2043741
2020-04-15,1.4105,1.2069176
2020-04-16,1.4141,1.206227
2020-04-17,1.4026,1.2041081
2020-04-20,1.4067,1.2061238
2020-04-21,1.4199,1.209606
2020-04-22,1.4132,1.2066127
2020-04-23,1.4028,1.2059909
2020-04-24,1.4098,1.2041074
2020-04-27,1.4042,1.2025312
2020-04-28,1.3992,1.2031794
2020-04-29,1.3936,1.1998885
2020-04-30,1.3911,1.2003014
2020-05-01,1.4102,1.2286134
2020-05-04,1.4088,1.2276703
2020-05-05,1.4025,1.2267249
2020-05-06,1.4143,1.2267056
2020-05-07,1.3972,1.2257516
2020-05-08,1.391,1.2246307
2020-05-11,1.4024,1.2245947
2020-05-12,1.4009,1.2257266
2020-05-13,1.4089,1.2262757
2020-05-14,1.4086,1.2252033
2020-05-15,1.409,1.2247382
2020-05-18,1.3966,1.2223158
2020-05-19,1.3879,1.2232742
2020-05-20,1.3911,1.2218285
2020-05-21,1.3946,1.2223979
2020-05-22,1.4021,1.2224308
2020-05-26,1.3821,1.2218074
2020-05-27,1.3786,1.2207308
2020-05-28,1.3763,1.2205608
2020-05-29,1.3809,1.2200391
2020-06-01,1.3603,1.2781647
2020-06-02,1.3515,1.2772411
2020-06-03,1.3489,1.2764738
2020-06-04,1.3513,1.2769341
2020-06-05,1.342,1.2740574
2020-06-08,1.3379,1.2729114
2020-06-09,1.3433,1.2737343
2020-06-10,1.3388,1.2742205
2020-06-11,1.3559,1.2794989
2020-06-12,1.3587,1.2783531
2020-06-15,1.3618,1.2779688
2020-06-16,1.3562,1.2759576
2020-06-17,1.357,1.2766834
2020-06-18,1.3593,1.2761374
2020-06-19,1.3601,1.2767289
2020-06-22,1.3544,1.2756283
2020-06-23,1.3509,1.2749497
2020-06-24,1.3601,1.2768503
2020-06-25,1.366,1.2764788
2020-06-26,1.3695,1.2785372
2020-06-29,1.3686,1.2770073
2020-06-30,1.3614,1.2756432
2020-07-01,1.3579,1.2724948
2020-07-02,1.3591,1.2724795
2020-07-06,1.3546,1.2709119
2020-07-07,1.3587,1.2715627
2020-07-08,1.3539,1.2707996
2020-07-09,1.3577,1.2709357
2020-07-10,1.3591,1.2703558
2020-07-13,1.3568,1.2710577
2020-07-14,1.3606,1.2702389
2020-07-15,1.3521,1.2696186
2020-07-16,1.3539,1.2698551
2020-07-17,1.3572,1.2696955
2020-07-20,1.3531,1.2688786
2020-07-21,1.3443,1.2686232
2020-07-22,1.3407,1.2681563
2020-07-23,1.337,1.2684513
2020-07-24,1.3425,1.2688184
2020-07-27,1.3383,1.2684805
2020-07-28,1.3364,1.2688944
2020-07-29,1.337,1.2679429
2020-07-30,1.344,1.2680392
2020-07-31,1.3384,1.2673494
2020-08-03,1.3408,1.2662129
2020-08-04,1.3366,1.2661346
2020-08-05,1.3254,1.2656986
2020-08-06,1.3285,1.2651628
2020-08-07,1.3393,1.2649983
2020-08-10,1.335,1.2649213
2020-08-11,1.3296,1.2656757
2020-08-12,1.325,1.2649791
2020-08-13,1.3214,1.2651205
2020-08-14,1.325,1.2650063
2020-08-17,1.3202,1.2648515
2020-08-18,1.3181,1.2643849
2020-08-19,1.3173,1.2648009
2020-08-20,1.3177,1.2649018
2020-08-21,1.3201,1.2645663
2020-08-24,1.322,1.2636452
2020-08-25,1.3191,1.2634662
2020-08-26,1.3145,1.2626216
2020-08-27,1.3111,1.2623651
2020-08-28,1.3106,1.2616507
2020-08-31,1.3034,1.2617767
2020-09-01,1.3043,1.2496908
2020-09-02,1.3061,1.2486268
2020-09-03,1.3131,1.2517045
2020-09-04,1.3095,1.2523034
2020-09-08,1.3194,1.2540693
2020-09-09,1.3163,1.2531043
2020-09-10,1.3162,1.2539933
2020-09-11,1.3183,1.2540029
2020-09-14,1.3172,1.2532934
2020-09-15,1.3199,1.2528679
2020-09-16,1.3164,1.2532165
2020-09-17,1.3204,1.2534821
2020-09-18,1.3179,1.2540467
2020-09-21,1.3299,1.2544891
2020-09-22,1.3313,1.254029
2020-09-23,1.3373,1.2551064
2020-09-24,1.337,1.2552111
2020-09-25,1.3409,1.254166
2020-09-28,1.3377,1.2534622
2020-09-29,1.3411,1.2537744
2020-09-30,1.3323,1.2533908
2020-10-01,1.3289,1.2479168
2020-10-02,1.332,1.2484142
2020-10-05,1.3269,1.2473878
2020-10-06,1.3275,1.248216
2020-10-07,1.3283,1.2473501
2020-10-08,1.3222,1.2467673
2020-10-09,1.312,1.2459414
2020-10-13,1.3138,1.2449864
2020-10-14,1.3147,1.2456846
2020-10-15,1.3243,1.2458595
2020-10-16,1.3194,1.2457746
2020-10-19,1.3155,1.2468307
2020-10-20,1.312,1.2466551
2020-10-21,1.313,1.2466731
2020-10-22,1.3132,1.2464117
2020-10-23,1.3147,1.2461699
2020-10-26,1.3214,1.2473456
2020-10-27,1.3156,1.247345
2020-10-28,1.3321,1.2495557
2020-10-29,1.3365,1.2489554
2020-10-30,1.3332,1.2497028
2020-11-02,1.3255,1.2516856
2020-11-03,1.3132,1.2508688
2020-11-04,1.3113,1.2497656
2020-11-05,1.3045,1.2482077
2020-11-06,1.3029,1.2480788
2020-11-09,1.2978,1.2472106
2020-11-10,1.2998,1.2475
2020-11-12,1.3107,1.2477282
2020-11-13,1.3164,1.2464855
2020-11-16,1.3072,1.2454501
2020-11-17,1.3107,1.2458028
2020-11-18,1.3049,1.2468916
2020-11-19,1.3083,1.246528
2020-11-20,1.3075,1.2471875
2020-11-23,1.3097,1.2466513
2020-11-24,1.3027,1.2449135
2020-11-25,1.2994,1.2450212
2020-11-30,1.2982,1.2450801
2020-12-01,1.2958,1.2519076
2020-12-02,1.2934,1.2519623
2020-12-03,1.2875,1.2520709
2020-12-04,1.2797,1.2512388
2020-12-07,1.2796,1.2513567
