Sample,Date,Actual,Predicted
1,2018-05-10,1.2787,1.2886345
1,2018-05-11,1.2781,1.29166
1,2018-05-14,1.2761,1.2902843
1,2018-05-15,1.2868,1.2909297
1,2018-05-16,1.2828,1.2881368
1,2018-05-17,1.2815,1.2883981
1,2018-05-18,1.2892,1.2907823
1,2018-05-21,1.2835,1.2909391
1,2018-05-22,1.2775,1.2925161
1,2018-05-23,1.2882000000000002,1.2942364
2,2018-05-11,1.2781,1.2854992
2,2018-05-14,1.2761,1.288573
2,2018-05-15,1.2868,1.2874374
2,2018-05-16,1.2828,1.2881948
2,2018-05-17,1.2815,1.2848821
2,2018-05-18,1.2892,1.2853504
2,2018-05-21,1.2835,1.2880489
2,2018-05-22,1.2775,1.2880812
2,2018-05-23,1.2882000000000002,1.2897052
2,2018-05-24,1.2907,1.2917006
3,2018-05-14,1.2761,1.2820324
3,2018-05-15,1.2868,1.2851837
3,2018-05-16,1.2828,1.2841166
3,2018-05-17,1.2815,1.2848873
3,2018-05-18,1.2892,1.2812974
3,2018-05-21,1.2835,1.2819839
3,2018-05-22,1.2775,1.2847636
3,2018-05-23,1.2882000000000002,1.2847836
3,2018-05-24,1.2907,1.2863783
3,2018-05-25,1.2972,1.2885158
4,2018-05-15,1.2868,1.2817799
4,2018-05-16,1.2828,1.2849382
4,2018-05-17,1.2815,1.2832501
4,2018-05-18,1.2892,1.283798
4,2018-05-21,1.2835,1.2809912
4,2018-05-22,1.2775,1.2816672
4,2018-05-23,1.2882000000000002,1.2837567
4,2018-05-24,1.2907,1.2840704
4,2018-05-25,1.2972,1.2854203
4,2018-05-29,1.3027,1.2871004
5,2018-05-16,1.2828,1.2824814
5,2018-05-17,1.2815,1.2854896
5,2018-05-18,1.2892,1.2833767
5,2018-05-21,1.2835,1.2837577
5,2018-05-22,1.2775,1.2816173
5,2018-05-23,1.2882000000000002,1.2821918
5,2018-05-24,1.2907,1.2839186
5,2018-05-25,1.2972,1.2842882
5,2018-05-29,1.3027,1.2855148
5,2018-05-30,1.2842,1.2867979
6,2018-05-17,1.2815,1.283216
6,2018-05-18,1.2892,1.2860107
6,2018-05-21,1.2835,1.2837186
6,2018-05-22,1.2775,1.2840271
6,2018-05-23,1.2882000000000002,1.2822664
6,2018-05-24,1.2907,1.2827203
6,2018-05-25,1.2972,1.2843648
6,2018-05-29,1.3027,1.2846689
6,2018-05-30,1.2842,1.2858694
6,2018-05-31,1.297,1.2869155
7,2018-05-18,1.2892,1.2856243
7,2018-05-21,1.2835,1.2881727
7,2018-05-22,1.2775,1.2854894
7,2018-05-23,1.2882000000000002,1.2857038
7,2018-05-24,1.2907,1.2846459
7,2018-05-25,1.2972,1.2848779
7,2018-05-29,1.3027,1.2861809
7,2018-05-30,1.2842,1.2865717
7,2018-05-31,1.297,1.287704
7,2018-06-01,1.2948,1.2883409
8,2018-05-21,1.2835,1.287191
8,2018-05-22,1.2775,1.2894639
8,2018-05-23,1.2882000000000002,1.2868124
8,2018-05-24,1.2907,1.2870694
8,2018-05-25,1.2972,1.2861514
8,2018-05-29,1.3027,1.2862254
8,2018-05-30,1.2842,1.2876673
8,2018-05-31,1.297,1.2879227
8,2018-06-01,1.2948,1.2891523
8,2018-06-04,1.2922,1.2897146
9,2018-05-22,1.2775,1.2865418
9,2018-05-23,1.2882000000000002,1.2886349
9,2018-05-24,1.2907,1.286422
9,2018-05-25,1.2972,1.286832
9,2018-05-29,1.3027,1.2854091
9,2018-05-30,1.2842,1.2854877
9,2018-05-31,1.297,1.2874335
9,2018-06-01,1.2948,1.2874517
9,2018-06-04,1.2922,1.2888714
9,2018-06-05,1.3008,1.2897418
10,2018-05-23,1.2882000000000002,1.2873887
10,2018-05-24,1.2907,1.2893828
10,2018-05-25,1.2972,1.2870556
10,2018-05-29,1.3027,1.287462
10,2018-05-30,1.2842,1.2862359
10,2018-05-31,1.297,1.2862452
10,2018-06-01,1.2948,1.2879959
10,2018-06-04,1.2922,1.2881557
10,2018-06-05,1.3008,1.2895519
10,2018-06-06,1.2907,1.2903402
11,2018-05-24,1.2907,1.2895334
11,2018-05-25,1.2972,1.2914
11,2018-05-29,1.3027,1.2888495
11,2018-05-30,1.2842,1.289189
11,2018-05-31,1.297,1.288381
11,2018-06-01,1.2948,1.2882345
11,2018-06-04,1.2922,1.2897054
11,2018-06-05,1.3008,1.2900181
11,2018-06-06,1.2907,1.2913586
11,2018-06-07,1.2988,1.2919327
12,2018-05-25,1.2972,1.2933655
12,2018-05-29,1.3027,1.295047
12,2018-05-30,1.2842,1.2921451
12,2018-05-31,1.297,1.2923768
12,2018-06-01,1.2948,1.2922543
12,2018-06-04,1.2922,1.2918544
12,2018-06-05,1.3008,1.2929273
12,2018-06-06,1.2907,1.2934194
12,2018-06-07,1.2988,1.29469
12,2018-06-08,1.2956,1.2949163
13,2018-05-29,1.3027,1.298497
13,2018-05-30,1.2842,1.299974
13,2018-05-31,1.297,1.2967832
13,2018-06-01,1.2948,1.2969351
13,2018-06-04,1.2922,1.2974592
13,2018-06-05,1.3008,1.2967539
13,2018-06-06,1.2907,1.2975059
13,2018-06-07,1.2988,1.2981224
13,2018-06-08,1.2956,1.29937
13,2018-06-11,1.298,1.2992604
14,2018-05-30,1.2842,1.2987508
14,2018-05-31,1.297,1.3001386
14,2018-06-01,1.2948,1.2978232
14,2018-06-04,1.2922,1.2982138
14,2018-06-05,1.3008,1.2976862
14,2018-06-06,1.2907,1.2970065
14,2018-06-07,1.2988,1.2987237
14,2018-06-08,1.2956,1.2989094
14,2018-06-11,1.298,1.3004775
14,2018-06-12,1.2987,1.3009995
15,2018-05-31,1.297,1.2992123
15,2018-06-01,1.2948,1.3007288
15,2018-06-04,1.2922,1.2986925
15,2018-06-05,1.3008,1.299188
15,2018-06-06,1.2907,1.2982122
15,2018-06-07,1.2988,1.2975905
15,2018-06-08,1.2956,1.2994676
15,2018-06-11,1.298,1.299714
15,2018-06-12,1.2987,1.3013366
15,2018-06-13,1.2963,1.3021399
16,2018-06-01,1.2948,1.2993068
16,2018-06-04,1.2922,1.301001
16,2018-06-05,1.3008,1.2991844
16,2018-06-06,1.2907,1.2997289
16,2018-06-07,1.2988,1.2983443
16,2018-06-08,1.2956,1.2978269
16,2018-06-11,1.298,1.2998135
16,2018-06-12,1.2987,1.3000773
16,2018-06-13,1.2963,1.301725
16,2018-06-14,1.307,1.3027835
17,2018-06-04,1.2922,1.2985003
17,2018-06-05,1.3008,1.3003901
17,2018-06-06,1.2907,1.2988261
17,2018-06-07,1.2988,1.2994113
17,2018-06-08,1.2956,1.2975501
17,2018-06-11,1.298,1.297173
17,2018-06-12,1.2987,1.2993531
17,2018-06-13,1.2963,1.2995771
17,2018-06-14,1.307,1.3012447
17,2018-06-15,1.3167,1.3025938
18,2018-06-05,1.3008,1.2993486
18,2018-06-06,1.2907,1.3014063
18,2018-06-07,1.2988,1.2996153
18,2018-06-08,1.2956,1.3001068
18,2018-06-11,1.298,1.2984575
18,2018-06-12,1.2987,1.2981056
18,2018-06-13,1.2963,1.2999566
18,2018-06-14,1.307,1.300363
18,2018-06-15,1.3167,1.3018973
18,2018-06-18,1.3229,1.3031459
19,2018-06-06,1.2907,1.2985452
19,2018-06-07,1.2988,1.3007028
19,2018-06-08,1.2956,1.2991474
