Sample,Date,Actual,Predicted
1,2020-01-16,1.3042,1.3133188
1,2020-01-17,1.3074,1.3122675
1,2020-01-21,1.3068,1.3131597
1,2020-01-22,1.3135,1.3116359
1,2020-01-23,1.3144,1.3126773
2,2020-01-17,1.3074,1.3125328
2,2020-01-21,1.3068,1.3114908
2,2020-01-22,1.3135,1.3123635
2,2020-01-23,1.3144,1.3108834
2,2020-01-24,1.3146,1.3119678
3,2020-01-21,1.3068,1.3128633
3,2020-01-22,1.3135,1.3119069
3,2020-01-23,1.3144,1.3128419
3,2020-01-24,1.3146,1.3113534
3,2020-01-27,1.3176,1.3124251
4,2020-01-22,1.3135,1.3133647
4,2020-01-23,1.3144,1.3125091
4,2020-01-24,1.3146,1.3134762
4,2020-01-27,1.3176,1.3120149
4,2020-01-28,1.3174,1.3131047
5,2020-01-23,1.3144,1.3153745
5,2020-01-24,1.3146,1.3146337
5,2020-01-27,1.3176,1.3156663
5,2020-01-28,1.3174,1.3141843
5,2020-01-29,1.3201,1.3152401
6,2020-01-24,1.3146,1.317904
6,2020-01-27,1.3176,1.3172212
6,2020-01-28,1.3174,1.3182817
6,2020-01-29,1.3201,1.3168015
6,2020-01-30,1.3216,1.3178434
7,2020-01-27,1.3176,1.3198506
7,2020-01-28,1.3174,1.3191707
7,2020-01-29,1.3201,1.3201691
7,2020-01-30,1.3216,1.3187367
7,2020-01-31,1.322,1.3198265
8,2020-01-28,1.3174,1.3217573
8,2020-01-29,1.3201,1.3210548
8,2020-01-30,1.3216,1.3220088
8,2020-01-31,1.322,1.3205888
8,2020-02-03,1.3295,1.3216794
9,2020-01-29,1.3201,1.3231214
9,2020-01-30,1.3216,1.322367
9,2020-01-31,1.322,1.3232871
9,2020-02-03,1.3295,1.3218817
9,2020-02-04,1.3266,1.3229902
10,2020-01-30,1.3216,1.3245451
10,2020-01-31,1.322,1.3237517
10,2020-02-03,1.3295,1.3246522
10,2020-02-04,1.3266,1.3232379
10,2020-02-05,1.3294,1.3243518
11,2020-01-31,1.322,1.3260365
11,2020-02-03,1.3295,1.3252239
11,2020-02-04,1.3266,1.3261353
11,2020-02-05,1.3294,1.3247017
11,2020-02-06,1.3292,1.3258142
12,2020-02-03,1.3295,1.3272134
12,2020-02-04,1.3266,1.3263991
