Date,Actual,Predicted
2020-01-17,1.3074,1.3056269
2020-01-21,1.3068,1.3057833
2020-01-22,1.3135,1.3060493
2020-01-23,1.3144,1.3072087
2020-01-24,1.3146,1.3091735
2020-01-27,1.3176,1.3113303
2020-01-28,1.3174,1.3134784
2020-01-29,1.3201,1.3154252
2020-01-30,1.3216,1.3165991
2020-01-31,1.322,1.3179727
2020-02-03,1.3295,1.3203278
2020-02-04,1.3266,1.3222015
2020-02-05,1.3294,1.3241416
2020-02-06,1.3292,1.3260592
2020-02-07,1.3304,1.3278095
2020-02-10,1.3323,1.3291698
2020-02-11,1.3299,1.3297234
2020-02-12,1.3243,1.3305298
2020-02-13,1.3255,1.3302172
2020-02-14,1.3251,1.3295007
2020-02-18,1.3256,1.3280976
2020-02-19,1.3232,1.3265294
2020-02-20,1.3259,1.3255665
2020-02-21,1.3217,1.325672
2020-02-24,1.3282,1.3251876
2020-02-25,1.3285,1.325257
2020-02-26,1.3321,1.3256896
2020-02-27,1.3356,1.3270662
2020-02-28,1.3411,1.3289977
2020-03-02,1.3334,1.3306135
2020-03-03,1.3352,1.3325449
2020-03-04,1.3425,1.3341762
2020-03-05,1.3403,1.3354825
2020-03-06,1.342,1.336025
2020-03-09,1.3527,1.336578
2020-03-10,1.3775,1.3396716
2020-03-11,1.3748,1.3453695
2020-03-12,1.3869,1.3518898
2020-03-13,1.3991,1.3615754
2020-03-16,1.3974,1.3725986
2020-03-17,1.4188,1.3812003
2020-03-18,1.4529,1.3885872
2020-03-19,1.4463,1.400649
2020-03-20,1.4363,1.4124563
2020-03-23,1.4539,1.4237332
2020-03-24,1.448,1.435684
2020-03-25,1.4333,1.4407635
2020-03-26,1.4045,1.4385346
2020-03-27,1.4075,1.4345293
2020-03-30,1.4169,1.428351
2020-03-31,1.4123,1.4177395
2020-04-01,1.4222,1.4148223
2020-04-02,1.411,1.4122678
2020-04-03,1.4132,1.4149292
2020-04-06,1.4125,1.4162817
2020-04-07,1.3971,1.4156924
2020-04-08,1.4015,1.4135932
2020-04-09,1.398,1.4096143
2020-04-10,1.3967,1.4065921
2020-04-13,1.3953,1.4026139
2020-04-14,1.3903,1.3995929
2020-04-15,1.4105,1.3984754
2020-04-16,1.4141,1.3982033
2020-04-17,1.4026,1.4001657
2020-04-20,1.4067,1.4028742
2020-04-21,1.4199,1.406606
2020-04-22,1.4132,1.4108021
2020-04-23,1.4028,1.4109801
2020-04-24,1.4098,1.4108679
2020-04-27,1.4042,1.412595
2020-04-28,1.3992,1.4116158
2020-04-29,1.3936,1.4077443
2020-04-30,1.3911,1.4048898
2020-05-01,1.4102,1.3959116
2020-05-04,1.4088,1.3935231
2020-05-05,1.4025,1.3936028
2020-05-06,1.4143,1.3955705
2020-05-07,1.3972,1.3998537
2020-05-08,1.391,1.4021162
2020-05-11,1.4024,1.3994521
2020-05-12,1.4009,1.3973275
2020-05-13,1.4089,1.3953975
2020-05-14,1.4086,1.3936398
2020-05-15,1.409,1.396409
2020-05-18,1.3966,1.4000938
2020-05-19,1.3879,1.4007895
2020-05-20,1.3911,1.3994071
2020-05-21,1.3946,1.3953155
2020-05-22,1.4021,1.3908837
2020-05-26,1.3821,1.3882735
2020-05-27,1.3786,1.387684
2020-05-28,1.3763,1.3872102
2020-05-29,1.3809,1.3842611
2020-06-01,1.3603,1.3744099
2020-06-02,1.3515,1.3679062
2020-06-03,1.3489,1.3633673
2020-06-04,1.3513,1.3574607
2020-06-05,1.342,1.350623
2020-06-08,1.3379,1.3434331
2020-06-09,1.3433,1.3396906
2020-06-10,1.3388,1.3374686
2020-06-11,1.3559,1.335086
2020-06-12,1.3587,1.3344914
2020-06-15,1.3618,1.3372704
2020-06-16,1.3562,1.3418226
2020-06-17,1.357,1.3460821
2020-06-18,1.3593,1.3497878
2020-06-19,1.3601,1.3501675
2020-06-22,1.3544,1.3499107
2020-06-23,1.3509,1.3491737
2020-06-24,1.3601,1.3487732
2020-06-25,1.366,1.3483933
2020-06-26,1.3695,1.3484128
2020-06-29,1.3686,1.3498973
2020-06-30,1.3614,1.3535086
2020-07-01,1.3579,1.3571506
2020-07-02,1.3591,1.3574314
2020-07-06,1.3546,1.3556463
2020-07-07,1.3587,1.3525506
2020-07-08,1.3539,1.3501548
2020-07-09,1.3577,1.3489715
2020-07-10,1.3591,1.3485363
2020-07-13,1.3568,1.3484267
2020-07-14,1.3606,1.3488456
2020-07-15,1.3521,1.3492072
2020-07-16,1.3539,1.349582
2020-07-17,1.3572,1.3488574
2020-07-20,1.3531,1.3480147
2020-07-21,1.3443,1.347083
2020-07-22,1.3407,1.3451463
2020-07-23,1.337,1.3434523
2020-07-24,1.3425,1.3399246
2020-07-27,1.3383,1.3359039
2020-07-28,1.3364,1.3330342
2020-07-29,1.337,1.3317355
2020-07-30,1.344,1.3312274
2020-07-31,1.3384,1.3314791
2020-08-03,1.3408,1.3307949
2020-08-04,1.3366,1.3315189
2020-08-05,1.3254,1.3319712
2020-08-06,1.3285,1.3304793
2020-08-07,1.3393,1.3274832
2020-08-10,1.335,1.3259108
2020-08-11,1.3296,1.3244784
2020-08-12,1.325,1.3246099
2020-08-13,1.3214,1.3255436
2020-08-14,1.325,1.3239291
2020-08-17,1.3202,1.320448
2020-08-18,1.3181,1.3174727
2020-08-19,1.3173,1.3155679
2020-08-20,1.3177,1.314396
2020-08-21,1.3201,1.3132247
2020-08-24,1.322,1.3119242
2020-08-25,1.3191,1.3121036
2020-08-26,1.3145,1.3126462
2020-08-27,1.3111,1.3127578
2020-08-28,1.3106,1.3118126
2020-08-31,1.3034,1.3097196
2020-09-01,1.3043,1.3075086
2020-09-02,1.3061,1.3046063
2020-09-03,1.3131,1.3026303
2020-09-04,1.3095,1.3020275
2020-09-08,1.3194,1.3022865
2020-09-09,1.3163,1.3049281
2020-09-10,1.3162,1.3075092
2020-09-11,1.3183,1.3095983
2020-09-14,1.3172,1.3109163
2020-09-15,1.3199,1.3120627
2020-09-16,1.3164,1.3120776
2020-09-17,1.3204,1.3124716
2020-09-18,1.3179,1.3129966
2020-09-21,1.3299,1.3131385
2020-09-22,1.3313,1.3145337
2020-09-23,1.3373,1.3165818
2020-09-24,1.337,1.3203762
2020-09-25,1.3409,1.3242339
2020-09-28,1.3377,1.3285099
2020-09-29,1.3411,1.3305284
2020-09-30,1.3323,1.3322593
2020-10-01,1.3289,1.3322368
2020-10-02,1.332,1.3310289
2020-10-05,1.3269,1.3289717
2020-10-06,1.3275,1.3265474
2020-10-07,1.3283,1.3240258
2020-10-08,1.3222,1.3231791
2020-10-09,1.312,1.3220397
2020-10-13,1.3138,1.3193263
2020-10-14,1.3147,1.3166662
2020-10-15,1.3243,1.3132808
2020-10-16,1.3194,1.3112177
2020-10-19,1.3155,1.3112221
2020-10-20,1.312,1.3127587
2020-10-21,1.313,1.3131236
2020-10-22,1.3132,1.3121736
2020-10-23,1.3147,1.3097106
2020-10-26,1.3214,1.3086177
2020-10-27,1.3156,1.3092767
2020-10-28,1.3321,1.3104336
2020-10-29,1.3365,1.3131834
2020-10-30,1.3332,1.3170625
2020-11-02,1.3255,1.3213736
2020-11-03,1.3132,1.3241498
2020-11-04,1.3113,1.3248491
2020-11-05,1.3045,1.3205698
2020-11-06,1.3029,1.3140376
2020-11-09,1.2978,1.3077592
2020-11-10,1.2998,1.3028488
2020-11-12,1.3107,1.299797
2020-11-13,1.3164,1.2985027
2020-11-16,1.3072,1.2998579
2020-11-17,1.3107,1.3020421
2020-11-18,1.3049,1.3052418
2020-11-19,1.3083,1.3064197
2020-11-20,1.3075,1.3052655
2020-11-23,1.3097,1.3036802
2020-11-24,1.3027,1.303805
2020-11-25,1.2994,1.3031154
2020-11-30,1.2982,1.3025309
2020-12-01,1.2958,1.2985586
2020-12-02,1.2934,1.2959026
2020-12-03,1.2875,1.2929184
2020-12-04,1.2797,1.2904311
2020-12-07,1.2796,1.2872182
2020-12-08,1.2808,1.2834108
2020-12-09,1.2791,1.2798506
2020-12-10,1.2727,1.276998
2020-12-11,1.2767,1.2749738
2020-12-14,1.2787,1.274191
2020-12-15,1.273,1.2733657
2020-12-16,1.2755,1.2721773
2020-12-17,1.2715,1.2718016
2020-12-18,1.2776,1.2716235
2020-12-21,1.2836,1.2711335
2020-12-22,1.2918,1.2715752
2020-12-23,1.2841,1.2743758
2020-12-28,1.2871,1.2771837
2020-12-29,1.2794,1.2805439
2020-12-30,1.2764,1.2814375
2020-12-31,1.2753,1.2799388
2021-01-04,1.2781,1.2826537
2021-01-05,1.27,1.2802908
2021-01-06,1.2685,1.2773374
2021-01-07,1.272,1.2756997
2021-01-08,1.2698,1.2742988
2021-01-11,1.2768,1.2726228
2021-01-12,1.2745,1.2715566
2021-01-13,1.271,1.2726946
2021-01-14,1.2633,1.2738955
2021-01-15,1.2709,1.2737094
2021-01-19,1.2721,1.2729557
2021-01-21,1.2634,1.2708161
2021-01-22,1.2711,1.2693285
2021-01-25,1.2747,1.2693985
2021-01-26,1.2711,1.2706724
2021-01-27,1.2782,1.2706707
2021-01-28,1.2812,1.2719493
2021-01-29,1.2776,1.2750596
2021-02-01,1.2826,1.2781508
2021-02-02,1.2815,1.2800046
2021-02-03,1.2765,1.2821938
2021-02-04,1.283,1.2824595
2021-02-05,1.2781,1.2825783
2021-02-08,1.2755,1.2827383
2021-02-09,1.2713,1.2816533
2021-02-10,1.2678,1.2805327
2021-02-11,1.2689,1.278846
2021-02-12,1.2694,1.275534
2021-02-16,1.2694,1.2731138
2021-02-17,1.2712,1.2716162
2021-02-18,1.2706,1.2714863
2021-02-19,1.2596,1.2721063
2021-02-22,1.2606,1.2716736
2021-02-23,1.261,1.2702894
2021-02-24,1.2537,1.2679126
2021-02-25,1.2528,1.26437
2021-02-26,1.2698,1.2612351
2021-03-01,1.2652,1.2620802
2021-03-02,1.2612,1.2622904
2021-03-03,1.2611,1.2637541
2021-03-04,1.2584,1.2666211
2021-03-05,1.2666,1.2675517
2021-03-08,1.2672,1.2656347
2021-03-09,1.2652,1.2655016
2021-03-10,1.2641,1.266714
2021-03-11,1.2558,1.2682463
2021-03-12,1.2471,1.2687751
2021-03-15,1.249,1.2659606
2021-03-16,1.2451,1.2618426
2021-03-17,1.2475,1.2570595
2021-03-18,1.2434,1.252886
2021-03-19,1.2511,1.2508411
2021-03-22,1.2528,1.2505713
2021-03-23,1.2548,1.2508496
2021-03-24,1.2551,1.2525418
