Date,Actual,Predicted
2020-01-17,1.3074,1.2484875
2020-01-21,1.3068,1.24832
2020-01-22,1.3135,1.2483622
2020-01-23,1.3144,1.2483
2020-01-24,1.3146,1.2481006
2020-01-27,1.3176,1.2476652
2020-01-28,1.3174,1.2479298
2020-01-29,1.3201,1.2478361
2020-01-30,1.3216,1.2479372
2020-01-31,1.322,1.2470536
2020-02-03,1.3295,1.2442805
2020-02-04,1.3266,1.2447523
2020-02-05,1.3294,1.2449946
2020-02-06,1.3292,1.2454258
2020-02-07,1.3304,1.2451423
2020-02-10,1.3323,1.2454374
2020-02-11,1.3299,1.2453775
2020-02-12,1.3243,1.2455976
2020-02-13,1.3255,1.2455795
2020-02-14,1.3251,1.2457004
2020-02-18,1.3256,1.2458781
2020-02-19,1.3232,1.2465154
2020-02-20,1.3259,1.2463443
2020-02-21,1.3217,1.2462808
2020-02-24,1.3282,1.2454392
2020-02-25,1.3285,1.2433958
2020-02-26,1.3321,1.242711
2020-02-27,1.3356,1.2406603
2020-02-28,1.3411,1.2382815
2020-03-02,1.3334,1.2218411
2020-03-03,1.3352,1.2211951
2020-03-04,1.3425,1.2207769
2020-03-05,1.3403,1.2195185
2020-03-06,1.342,1.2175143
2020-03-09,1.3527,1.2106255
2020-03-10,1.3775,1.2124529
2020-03-11,1.3748,1.2100279
2020-03-12,1.3869,1.203934
2020-03-13,1.3991,1.2087904
2020-03-16,1.3974,1.2028291
2020-03-17,1.4188,1.205822
2020-03-18,1.4529,1.2039418
2020-03-19,1.4463,1.2051748
2020-03-20,1.4363,1.2040915
2020-03-23,1.4539,1.2021091
2020-03-24,1.448,1.2088732
2020-03-25,1.4333,1.2108737
2020-03-26,1.4045,1.2136147
2020-03-27,1.4075,1.2123573
2020-03-30,1.4169,1.2136399
2020-03-31,1.4123,1.2136092
2020-04-01,1.4222,1.193379
2020-04-02,1.411,1.1936015
2020-04-03,1.4132,1.1935155
2020-04-06,1.4125,1.1963392
2020-04-07,1.3971,1.1963339
2020-04-08,1.4015,1.1975234
2020-04-09,1.398,1.1977081
2020-04-10,1.3967,1.1977081
2020-04-13,1.3953,1.1973075
2020-04-14,1.3903,1.1989527
2020-04-15,1.4105,1.1974808
2020-04-16,1.4141,1.1976358
2020-04-17,1.4026,1.1983777
2020-04-20,1.4067,1.1977147
2020-04-21,1.4199,1.195609
2020-04-22,1.4132,1.1969604
2020-04-23,1.4028,1.1970353
2020-04-24,1.4098,1.1960858
2020-04-27,1.4042,1.195889
2020-04-28,1.3992,1.1945758
2020-04-29,1.3936,1.1947124
2020-04-30,1.3911,1.1918975
2020-05-01,1.4102,1.2010963
2020-05-04,1.4088,1.2012556
2020-05-05,1.4025,1.2010316
2020-05-06,1.4143,1.2005109
2020-05-07,1.3972,1.2004247
2020-05-08,1.391,1.201051
2020-05-11,1.4024,1.2014159
2020-05-12,1.4009,1.2004759
2020-05-13,1.4089,1.1988962
2020-05-14,1.4086,1.1993542
2020-05-15,1.409,1.1998713
2020-05-18,1.3966,1.2009573
2020-05-19,1.3879,1.20067
2020-05-20,1.3911,1.2012513
2020-05-21,1.3946,1.2006183
2020-05-22,1.4021,1.2008717
2020-05-26,1.3821,1.2014209
2020-05-27,1.3786,1.2015694
2020-05-28,1.3763,1.2015989
2020-05-29,1.3809,1.2015605
2020-06-01,1.3603,1.2084955
2020-06-02,1.3515,1.208939
2020-06-03,1.3489,1.209151
2020-06-04,1.3513,1.2086642
2020-06-05,1.342,1.2098485
2020-06-08,1.3379,1.2100319
2020-06-09,1.3433,1.2099235
2020-06-10,1.3388,1.209794
2020-06-11,1.3559,1.2073289
2020-06-12,1.3587,1.2081637
2020-06-15,1.3618,1.2077832
2020-06-16,1.3562,1.2089549
2020-06-17,1.357,1.2086747
2020-06-18,1.3593,1.208865
2020-06-19,1.3601,1.2086196
2020-06-22,1.3544,1.2090007
2020-06-23,1.3509,1.2093755
2020-06-24,1.3601,1.20837
2020-06-25,1.366,1.2089577
2020-06-26,1.3695,1.2080059
2020-06-29,1.3686,1.208622
2020-06-30,1.3614,1.2093419
2020-07-01,1.3579,1.2126912
2020-07-02,1.3591,1.2128085
2020-07-06,1.3546,1.2129247
2020-07-07,1.3587,1.2124109
2020-07-08,1.3539,1.2131273
2020-07-09,1.3577,1.2129934
2020-07-10,1.3591,1.2134187
2020-07-13,1.3568,1.2131917
2020-07-14,1.3606,1.2137489
2020-07-15,1.3521,1.2144473
2020-07-16,1.3539,1.2142003
2020-07-17,1.3572,1.2144003
2020-07-20,1.3531,1.2146364
2020-07-21,1.3443,1.2148242
2020-07-22,1.3407,1.2155652
2020-07-23,1.337,1.2152103
2020-07-24,1.3425,1.2152313
2020-07-27,1.3383,1.2168022
2020-07-28,1.3364,1.2163967
2020-07-29,1.337,1.2172602
2020-07-30,1.344,1.2169845
2020-07-31,1.3384,1.2173417
