Sample,Date,Actual,Predicted
1,2020-01-17,1.3074,1.3039079833151592
1,2020-01-21,1.3068,1.3036365434137585
1,2020-01-22,1.3135,1.3034521017470917
1,2020-01-23,1.3144,1.3034722267470917
1,2020-01-24,1.3146,1.3033798148152735
2,2020-01-27,1.3176,1.3025352495100933
2,2020-01-28,1.3174,1.3031705803632674
2,2020-01-29,1.3201,1.303250153451637
2,2020-01-30,1.3216,1.3031172053632674
2,2020-01-31,1.322,1.3040649364371075
3,2020-02-03,1.3295,1.3088421151604854
3,2020-02-04,1.3266,1.3092680428123467
3,2020-02-05,1.3294,1.3094343887719426
3,2020-02-06,1.3292,1.309338796284569
3,2020-02-07,1.3304,1.3092769178123467
4,2020-02-10,1.3323,1.3092030113906434
4,2020-02-11,1.3299,1.3092769178123467
4,2020-02-12,1.3243,1.3092811678123468
4,2020-02-13,1.3255,1.3092030113906434
4,2020-02-14,1.3251,1.3092030113906434
5,2020-02-18,1.3256,1.3092275113906435
5,2020-02-19,1.3232,1.3092275113906435
5,2020-02-20,1.3259,1.3093044396313842
5,2020-02-21,1.3217,1.3093044396313842
5,2020-02-24,1.3282,1.3102290978233782
6,2020-02-25,1.3285,1.3109756932438024
6,2020-02-26,1.3321,1.3114941943952478
6,2020-02-27,1.3356,1.312335251514558
6,2020-02-28,1.3411,1.3134596890748043
6,2020-03-02,1.3334,1.3213318932319147
7,2020-03-03,1.3352,1.3184385931902998
7,2020-03-04,1.3425,1.3212788295495077
7,2020-03-05,1.3403,1.321161998650234
7,2020-03-06,1.342,1.3212331072691512
7,2020-03-09,1.3527,1.3212235324187522
8,2020-03-10,1.3775,1.320831582518153
8,2020-03-11,1.3748,1.3214075694289797
8,2020-03-12,1.3869,1.3384426769564268
8,2020-03-13,1.3991,1.3221616211545522
8,2020-03-16,1.3974,1.340256858923536
9,2020-03-17,1.4188,1.3361382591398066
9,2020-03-18,1.4529,1.341156581091646
9,2020-03-19,1.4463,1.3407858088694238
9,2020-03-20,1.4363,1.342985238281885
9,2020-03-23,1.4539,1.3384739412106936
10,2020-03-24,1.448,1.3389119204233761
10,2020-03-25,1.4333,1.3334194727225406
10,2020-03-26,1.4045,1.3217413323968976
10,2020-03-27,1.4075,1.3331704743809498
10,2020-03-30,1.4169,1.3302175377264092
11,2020-03-31,1.4123,1.3218276634779789
11,2020-04-01,1.4222,1.324013048643321
11,2020-04-02,1.411,1.3238460846897322
11,2020-04-03,1.4132,1.3240478986433215
11,2020-04-06,1.4125,1.3141539672731124
12,2020-04-07,1.3971,1.3142602172731126
12,2020-04-08,1.4015,1.3141879791778743
12,2020-04-09,1.398,1.3176434339268328
12,2020-04-10,1.3967,1.3176434339268328
12,2020-04-13,1.3953,1.3176434339268328
13,2020-04-14,1.3903,1.3171284082214634
13,2020-04-15,1.4105,1.3177659467486924
13,2020-04-16,1.4141,1.3177966967486925
13,2020-04-17,1.4026,1.3174560036810066
13,2020-04-20,1.4067,1.3173568740370436
14,2020-04-21,1.4199,1.317544858583426
14,2020-04-22,1.4132,1.317303680694312
14,2020-04-23,1.4028,1.316503243719299
14,2020-04-24,1.4098,1.316861211969944
14,2020-04-27,1.4042,1.3149211415064115
15,2020-04-28,1.3992,1.3147644860918026
15,2020-04-29,1.3936,1.3126121935343387
15,2020-04-30,1.3911,1.3123998726272739
15,2020-05-01,1.4102,1.298932069075352
15,2020-05-04,1.4088,1.2968619081799166
16,2020-05-05,1.4025,1.2959519860061655
16,2020-05-06,1.4143,1.2955725759884351
16,2020-05-07,1.3972,1.2955083426551015
16,2020-05-08,1.391,1.2955632575500184
16,2020-05-11,1.4024,1.2954978537650723
17,2020-05-12,1.4009,1.2955600812914656
17,2020-05-13,1.4089,1.2954239015638607
17,2020-05-14,1.4086,1.2955615523065174
17,2020-05-15,1.409,1.2953668418184763
17,2020-05-18,1.3966,1.294848963424254
18,2020-05-19,1.3879,1.2955964367166857
18,2020-05-20,1.3911,1.2945892213212977
18,2020-05-21,1.3946,1.2954447413793477
18,2020-05-22,1.4021,1.2950980965480372
18,2020-05-26,1.3821,1.2945949549522502
19,2020-05-27,1.3786,1.2944487753902651
19,2020-05-28,1.3763,1.294280341424875
19,2020-05-29,1.3809,1.2942948419014284
19,2020-06-01,1.3603,1.2888338864466242
19,2020-06-02,1.3515,1.2894659403535809
20,2020-06-03,1.3489,1.2900311070371167
20,2020-06-04,1.3513,1.2894564028704496
20,2020-06-05,1.342,1.2890745942950013
20,2020-06-08,1.3379,1.2883193428235222
20,2020-06-09,1.3433,1.2890302294610954
21,2020-06-10,1.3388,1.2893805916494983
21,2020-06-11,1.3559,1.2882391129839592
21,2020-06-12,1.3587,1.2882371109700705
21,2020-06-15,1.3618,1.2884450320202476
21,2020-06-16,1.3562,1.28916790287045
22,2020-06-17,1.357,1.2890059084625551
22,2020-06-18,1.3593,1.2887459188792219
22,2020-06-19,1.3601,1.2887074084625554
22,2020-06-22,1.3544,1.2891206028704496
22,2020-06-23,1.3509,1.289167786203783
23,2020-06-24,1.3601,1.2752890873783456
23,2020-06-25,1.366,1.2886880105458887
23,2020-06-26,1.3695,1.2880086793034038
23,2020-06-29,1.3686,1.2886044695202474
23,2020-06-30,1.3614,1.2891130612037829
24,2020-07-01,1.3579,1.2881687282013181
24,2020-07-02,1.3591,1.2882442061775083
24,2020-07-06,1.3546,1.2746631354124134
24,2020-07-07,1.3587,1.2743697895971173
24,2020-07-08,1.3539,1.2746943374145778
25,2020-07-09,1.3577,1.2744197895971174
25,2020-07-10,1.3591,1.2741696394872772
25,2020-07-13,1.3568,1.274834669145347
25,2020-07-14,1.3606,1.2743238365772245
25,2020-07-15,1.3521,1.2741303097836876
26,2020-07-16,1.3539,1.2743238365772245
26,2020-07-17,1.3572,1.2741786419265446
26,2020-07-20,1.3531,1.2735830462386875
26,2020-07-21,1.3443,1.2734544753225727
26,2020-07-22,1.3407,1.2736471751347915
27,2020-07-23,1.337,1.2701175542341374
27,2020-07-24,1.3425,1.2706120825416496
27,2020-07-27,1.3383,1.2737268310871728
27,2020-07-28,1.3364,1.2739582135613516
27,2020-07-29,1.337,1.2736260879053543
28,2020-07-30,1.344,1.2714002899484231
28,2020-07-31,1.3384,1.2715310506627087
28,2020-08-03,1.3408,1.2702094284147967
28,2020-08-04,1.3366,1.2701107591798815
28,2020-08-05,1.3254,1.2687638401758916
