Sample,Date,Actual,Predicted
1,2020-01-17,1.3074,1.350210599728786
1,2020-01-21,1.3068,1.347912940411948
1,2020-01-22,1.3135,1.3468371765115597
1,2020-01-23,1.3144,1.3476922242107212
1,2020-01-24,1.3146,1.3416308567416484
2,2020-01-27,1.3176,1.3304721327723035
2,2020-01-28,1.3174,1.3362586995514112
2,2020-01-29,1.3201,1.336891657960695
2,2020-01-30,1.3216,1.3380469434119566
2,2020-01-31,1.322,1.3312441444951053
3,2020-02-03,1.3295,1.3406160067440174
3,2020-02-04,1.3266,1.3480801174081483
3,2020-02-05,1.3294,1.3550301766408557
3,2020-02-06,1.3292,1.3514500834016479
3,2020-02-07,1.3304,1.3503126021114331
4,2020-02-10,1.3323,1.351592363649292
4,2020-02-11,1.3299,1.3527996147521895
4,2020-02-12,1.3243,1.3557719838750761
4,2020-02-13,1.3255,1.3533993524132943
4,2020-02-14,1.3251,1.3535637646769947
5,2020-02-18,1.3256,1.3488377150939816
5,2020-02-19,1.3232,1.3459102719011928
5,2020-02-20,1.3259,1.3423409596775178
5,2020-02-21,1.3217,1.333618241364764
5,2020-02-24,1.3282,1.309680494130635
6,2020-02-25,1.3285,1.306697288856174
6,2020-02-26,1.3321,1.3102335939257193
6,2020-02-27,1.3356,1.29180668662757
6,2020-02-28,1.3411,1.3056800577978611
6,2020-03-02,1.3334,1.3631168081985583
7,2020-03-03,1.3352,1.3508414044443133
7,2020-03-04,1.3425,1.3573637953151836
7,2020-03-05,1.3403,1.3416050209749562
7,2020-03-06,1.342,1.3356746751517539
7,2020-03-09,1.3527,1.3449346305270244
8,2020-03-10,1.3775,1.3628657806254727
8,2020-03-11,1.3748,1.354727301355769
8,2020-03-12,1.3869,1.362825950500511
8,2020-03-13,1.3991,1.3810622621597621
8,2020-03-16,1.3974,1.372781949242938
9,2020-03-17,1.4188,1.3988156867384907
9,2020-03-18,1.4529,1.396573298682856
9,2020-03-19,1.4463,1.3887558975944818
9,2020-03-20,1.4363,1.3724531768221373
9,2020-03-23,1.4539,1.3807913345377505
10,2020-03-24,1.448,1.3606804717249223
10,2020-03-25,1.4333,1.343545725328102
10,2020-03-26,1.4045,1.3691325464870123
10,2020-03-27,1.4075,1.3728437823228352
10,2020-03-30,1.4169,1.3787453216957493
11,2020-03-31,1.4123,1.3620596549506734
11,2020-04-01,1.4222,1.3814235792642824
11,2020-04-02,1.411,1.3872973274786096
11,2020-04-03,1.4132,1.3802748752918068
11,2020-04-06,1.4125,1.3907681174883242
12,2020-04-07,1.3971,1.3861409080290377
12,2020-04-08,1.4015,1.39574542815264
12,2020-04-09,1.398,1.3936371159074274
12,2020-04-10,1.3967,1.3936371159074274
12,2020-04-13,1.3953,1.390624315188109
13,2020-04-14,1.3903,1.3924188895529317
13,2020-04-15,1.4105,1.3897037824389178
13,2020-04-16,1.4141,1.3941045225440722
13,2020-04-17,1.4026,1.399485956650668
13,2020-04-20,1.4067,1.3890515616048906
14,2020-04-21,1.4199,1.3867123585896797
14,2020-04-22,1.4132,1.3838954333461435
14,2020-04-23,1.4028,1.380045363597265
14,2020-04-24,1.4098,1.3827852200036579
14,2020-04-27,1.4042,1.3862251609381848
15,2020-04-28,1.3992,1.3794845276483902
15,2020-04-29,1.3936,1.381808291283466
15,2020-04-30,1.3911,1.388962151271446
15,2020-05-01,1.4102,1.3523793436409652
15,2020-05-04,1.4088,1.3449004660072494
16,2020-05-05,1.4025,1.3496061213286799
16,2020-05-06,1.4143,1.3441613379090886
16,2020-05-07,1.3972,1.3530708824223614
16,2020-05-08,1.391,1.3590558705577285
16,2020-05-11,1.4024,1.3526312985007427
17,2020-05-12,1.4009,1.3462577256513446
17,2020-05-13,1.4089,1.3488756630725225
17,2020-05-14,1.4086,1.352473065406446
17,2020-05-15,1.409,1.3470027485814062
17,2020-05-18,1.3966,1.3621727107945565
18,2020-05-19,1.3879,1.3513752510942714
18,2020-05-20,1.3911,1.3552356421207497
18,2020-05-21,1.3946,1.3573627630506342
18,2020-05-22,1.4021,1.357957460353578
18,2020-05-26,1.3821,1.359744354511523
19,2020-05-27,1.3786,1.3684911935625654
19,2020-05-28,1.3763,1.3639490709686901
19,2020-05-29,1.3809,1.3689828103376873
19,2020-06-01,1.3603,1.3539019306434914
19,2020-06-02,1.3515,1.3529350005901113
20,2020-06-03,1.3489,1.3602440838399337
20,2020-06-04,1.3513,1.3617055002503837
20,2020-06-05,1.342,1.367688566199934
20,2020-06-08,1.3379,1.3752614425102825
20,2020-06-09,1.3433,1.3716159578685738
21,2020-06-10,1.3388,1.3704567247190373
21,2020-06-11,1.3559,1.3491545252930768
21,2020-06-12,1.3587,1.3499146276989398
21,2020-06-15,1.3618,1.356762657651277
21,2020-06-16,1.3562,1.3605788265982743
22,2020-06-17,1.357,1.3632051508849263
22,2020-06-18,1.3593,1.358943530300653
22,2020-06-19,1.3601,1.3561333552167587
22,2020-06-22,1.3544,1.3557851930043971
22,2020-06-23,1.3509,1.3549259172167643
23,2020-06-24,1.3601,1.3429459297889144
23,2020-06-25,1.366,1.3483221857110157
23,2020-06-26,1.3695,1.3402193206669215
23,2020-06-29,1.3686,1.3416911119898065
23,2020-06-30,1.3614,1.3472252245197784
24,2020-07-01,1.3579,1.33764018077753
