Date,Actual,Predicted
2020-01-17,1.3074,1.3048892
2020-01-21,1.3068,1.3023485
2020-01-22,1.3135,1.3023485
2020-01-23,1.3144,1.3023485
2020-01-24,1.3146,1.3023485
2020-01-27,1.3176,1.2990897
2020-01-28,1.3174,1.3021605
2020-01-29,1.3201,1.3029114
2020-01-30,1.3216,1.3021605
2020-01-31,1.322,1.3013535
2020-02-03,1.3295,1.3101611
2020-02-04,1.3266,1.3132448
2020-02-05,1.3294,1.3132448
2020-02-06,1.3292,1.3132448
2020-02-07,1.3304,1.3132448
2020-02-10,1.3323,1.3132448
2020-02-11,1.3299,1.312608
2020-02-12,1.3243,1.312608
2020-02-13,1.3255,1.312608
2020-02-14,1.3251,1.312608
2020-02-18,1.3256,1.3111297
2020-02-19,1.3232,1.3087819
2020-02-20,1.3259,1.3087819
2020-02-21,1.3217,1.3062749
2020-02-24,1.3282,1.3062913
2020-02-25,1.3285,1.3125417
2020-02-26,1.3321,1.3150604
2020-02-27,1.3356,1.3114405
2020-02-28,1.3411,1.3072491
2020-03-02,1.3334,1.3376925
2020-03-03,1.3352,1.3288419
2020-03-04,1.3425,1.3453364
2020-03-05,1.3403,1.3378325
2020-03-06,1.342,1.335144
2020-03-09,1.3527,1.3518325
2020-03-10,1.3775,1.3442645
2020-03-11,1.3748,1.352999
2020-03-12,1.3869,1.3749698
2020-03-13,1.3991,1.3537846
2020-03-16,1.3974,1.3895032
2020-03-17,1.4188,1.3744372
2020-03-18,1.4529,1.4026437
2020-03-19,1.4463,1.38939
2020-03-20,1.4363,1.400857
2020-03-23,1.4539,1.4007494
2020-03-24,1.448,1.3793371
2020-03-25,1.4333,1.3746195
2020-03-26,1.4045,1.3670132
2020-03-27,1.4075,1.3703935
2020-03-30,1.4169,1.3667221
2020-03-31,1.4123,1.3587389
2020-04-01,1.4222,1.3554348
2020-04-02,1.411,1.3604183
2020-04-03,1.4132,1.3618324
2020-04-06,1.4125,1.3301992
2020-04-07,1.3971,1.3290428
2020-04-08,1.4015,1.3272501
2020-04-09,1.398,1.3311608
2020-04-10,1.3967,1.3311608
2020-04-13,1.3953,1.3369156
2020-04-14,1.3903,1.3288975
2020-04-15,1.4105,1.3289242
2020-04-16,1.4141,1.3275454
2020-04-17,1.4026,1.3269718
2020-04-20,1.4067,1.3274031
2020-04-21,1.4199,1.3371539
2020-04-22,1.4132,1.3268142
2020-04-23,1.4028,1.3272519
2020-04-24,1.4098,1.3247257
2020-04-27,1.4042,1.3172139
2020-04-28,1.3992,1.3211751
2020-04-29,1.3936,1.3137598
2020-04-30,1.3911,1.3247483
2020-05-01,1.4102,1.2972808
2020-05-04,1.4088,1.2886739
2020-05-05,1.4025,1.2862554
2020-05-06,1.4143,1.2845104
2020-05-07,1.3972,1.2859948
2020-05-08,1.391,1.2817156
2020-05-11,1.4024,1.2823868
2020-05-12,1.4009,1.2859809
2020-05-13,1.4089,1.2901628
2020-05-14,1.4086,1.2892513
2020-05-15,1.409,1.2868088
2020-05-18,1.3966,1.278061
2020-05-19,1.3879,1.285984
2020-05-20,1.3911,1.2789252
2020-05-21,1.3946,1.2830027
2020-05-22,1.4021,1.2805876
2020-05-26,1.3821,1.2780459
2020-05-27,1.3786,1.2786177
2020-05-28,1.3763,1.2774038
2020-05-29,1.3809,1.2768084
2020-06-01,1.3603,1.2866402
2020-06-02,1.3515,1.2931945
2020-06-03,1.3489,1.2986494
2020-06-04,1.3513,1.2987642
2020-06-05,1.342,1.2956717
2020-06-08,1.3379,1.2922293
2020-06-09,1.3433,1.2958845
2020-06-10,1.3388,1.2939866
2020-06-11,1.3559,1.2877764
2020-06-12,1.3587,1.2854095
2020-06-15,1.3618,1.2869806
2020-06-16,1.3562,1.2971754
2020-06-17,1.357,1.2982985
2020-06-18,1.3593,1.2986177
2020-06-19,1.3601,1.297889
2020-06-22,1.3544,1.296177
2020-06-23,1.3509,1.2953767
2020-06-24,1.3601,1.2813275
2020-06-25,1.366,1.2937827
2020-06-26,1.3695,1.2855139
2020-06-29,1.3686,1.2904484
2020-06-30,1.3614,1.295716
2020-07-01,1.3579,1.3031061
2020-07-02,1.3591,1.3028593
2020-07-06,1.3546,1.2905893
2020-07-07,1.3587,1.2895597
2020-07-08,1.3539,1.2879267
2020-07-09,1.3577,1.2849824
2020-07-10,1.3591,1.2830219
2020-07-13,1.3568,1.2872512
2020-07-14,1.3606,1.2876623
2020-07-15,1.3521,1.2851284
2020-07-16,1.3539,1.2878212
2020-07-17,1.3572,1.2868996
2020-07-20,1.3531,1.2788864
2020-07-21,1.3443,1.2764175
2020-07-22,1.3407,1.278536
2020-07-23,1.337,1.2796926
2020-07-24,1.3425,1.2831975
2020-07-27,1.3383,1.284163
2020-07-28,1.3364,1.2878618
2020-07-29,1.337,1.278189
2020-07-30,1.344,1.2752411
2020-07-31,1.3384,1.278898
2020-08-03,1.3408,1.2741668
2020-08-04,1.3366,1.2737877
2020-08-05,1.3254,1.2781541
2020-08-06,1.3285,1.2772485
2020-08-07,1.3393,1.2800682
2020-08-10,1.335,1.2821195
2020-08-11,1.3296,1.2802784
2020-08-12,1.325,1.2808833
2020-08-13,1.3214,1.2881224
2020-08-14,1.325,1.284181
2020-08-17,1.3202,1.2836328
2020-08-18,1.3181,1.2823317
2020-08-19,1.3173,1.2770729
2020-08-20,1.3177,1.2821195
2020-08-21,1.3201,1.2768984
2020-08-24,1.322,1.270015
2020-08-25,1.3191,1.2787826
2020-08-26,1.3145,1.2835542
2020-08-27,1.3111,1.2799436
2020-08-28,1.3106,1.2802482
2020-08-31,1.3034,1.2772028
2020-09-01,1.3043,1.2778225
2020-09-02,1.3061,1.2789835
2020-09-03,1.3131,1.2741077
2020-09-04,1.3095,1.2721698
2020-09-08,1.3194,1.2784297
2020-09-09,1.3163,1.2728276
2020-09-10,1.3162,1.2732067
2020-09-11,1.3183,1.2721698
2020-09-14,1.3172,1.2704566
2020-09-15,1.3199,1.2741077
2020-09-16,1.3164,1.2638474
2020-09-17,1.3204,1.2607191
2020-09-18,1.3179,1.2625761
2020-09-21,1.3299,1.2653344
2020-09-22,1.3313,1.2726294
2020-09-23,1.3373,1.2635939
2020-09-24,1.337,1.2652268
2020-09-25,1.3409,1.2722452
2020-09-28,1.3377,1.2682979
2020-09-29,1.3411,1.2625761
2020-09-30,1.3323,1.2695856
2020-10-01,1.3289,1.263896
2020-10-02,1.332,1.2639183
2020-10-05,1.3269,1.2705885
2020-10-06,1.3275,1.26295
2020-10-07,1.3283,1.2646493
2020-10-08,1.3222,1.272605
2020-10-09,1.312,1.267496
2020-10-13,1.3138,1.2744125
2020-10-14,1.3147,1.2657238
2020-10-15,1.3243,1.2724756
2020-10-16,1.3194,1.2707744
2020-10-19,1.3155,1.2690749
2020-10-20,1.312,1.2690749
2020-10-21,1.313,1.2690749
2020-10-22,1.3132,1.2690749
2020-10-23,1.3147,1.2696232
2020-10-26,1.3214,1.272664
2020-10-27,1.3156,1.2738514
2020-10-28,1.3321,1.2728984
2020-10-29,1.3365,1.2708913
2020-10-30,1.3332,1.2715032
2020-11-02,1.3255,1.2722342
2020-11-03,1.3132,1.2682291
2020-11-04,1.3113,1.2674379
2020-11-05,1.3045,1.269972
2020-11-06,1.3029,1.269972
2020-11-09,1.2978,1.2729384
2020-11-10,1.2998,1.2743589
2020-11-12,1.3107,1.2721364
2020-11-13,1.3164,1.2743589
2020-11-16,1.3072,1.2770121
2020-11-17,1.3107,1.2712915
2020-11-18,1.3049,1.2705419
2020-11-19,1.3083,1.273969
2020-11-20,1.3075,1.273969
2020-11-23,1.3097,1.2707583
2020-11-24,1.3027,1.2696979
2020-11-25,1.2994,1.2710316
2020-11-30,1.2982,1.2716545
2020-12-01,1.2958,1.2699006
2020-12-02,1.2934,1.268605
2020-12-03,1.2875,1.2689861
2020-12-04,1.2797,1.2691848
2020-12-07,1.2796,1.268605
2020-12-08,1.2808,1.266496
2020-12-09,1.2791,1.2726209
2020-12-10,1.2727,1.2747301
2020-12-11,1.2767,1.2747301
2020-12-14,1.2787,1.2746136
2020-12-15,1.273,1.2699949
2020-12-16,1.2755,1.274696
2020-12-17,1.2715,1.2781479
2020-12-18,1.2776,1.2776673
2020-12-21,1.2836,1.2775381
2020-12-22,1.2918,1.2781029
2020-12-23,1.2841,1.2774185
2020-12-28,1.2871,1.2774185
2020-12-29,1.2794,1.2827781
2020-12-30,1.2764,1.277756
2020-12-31,1.2753,1.2790264
2021-01-04,1.2781,1.289263
2021-01-05,1.27,1.289263
2021-01-06,1.2685,1.2809613
2021-01-07,1.272,1.2807397
2021-01-08,1.2698,1.2807397
2021-01-11,1.2768,1.280479
2021-01-12,1.2745,1.2780297
2021-01-13,1.271,1.2883248
2021-01-14,1.2633,1.2793622
2021-01-15,1.2709,1.2753441
2021-01-19,1.2721,1.2792583
2021-01-21,1.2634,1.2827985
2021-01-22,1.2711,1.2827985
2021-01-25,1.2747,1.2827985
2021-01-26,1.2711,1.2827985
2021-01-27,1.2782,1.2855809
2021-01-28,1.2812,1.2849076
2021-01-29,1.2776,1.2827985
2021-02-01,1.2826,1.2340674
2021-02-02,1.2815,1.2368499
2021-02-03,1.2765,1.2361766
2021-02-04,1.283,1.2360601
2021-02-05,1.2781,1.2360601
2021-02-08,1.2755,1.2360601
2021-02-09,1.2713,1.2368499
2021-02-10,1.2678,1.2361766
2021-02-11,1.2689,1.2361766
2021-02-12,1.2694,1.2360601
2021-02-16,1.2694,1.2360601
2021-02-17,1.2712,1.2374496
2021-02-18,1.2706,1.240119
2021-02-19,1.2596,1.240119
2021-02-22,1.2606,1.2374496
2021-02-23,1.261,1.2360601
2021-02-24,1.2537,1.2360601
2021-02-25,1.2528,1.2374496
2021-02-26,1.2698,1.2412846
2021-03-01,1.2652,1.2356083
2021-03-02,1.2612,1.2364973
2021-03-03,1.2611,1.2364973
2021-03-04,1.2584,1.2359834
2021-03-05,1.2666,1.2361963
2021-03-08,1.2672,1.2361963
2021-03-09,1.2652,1.2361963
2021-03-10,1.2641,1.2366785
2021-03-11,1.2558,1.2356083
2021-03-12,1.2471,1.2361963
2021-03-15,1.249,1.2364973
2021-03-16,1.2451,1.2364973
2021-03-17,1.2475,1.2356083
2021-03-18,1.2434,1.235865
2021-03-19,1.2511,1.2356083
2021-03-22,1.2528,1.235865
2021-03-23,1.2548,1.2356083
2021-03-24,1.2551,1.235865
2021-03-25,1.2613,1.2364973
2021-03-26,1.2577,1.2364973
2021-03-29,1.2592,1.2364973
2021-03-30,1.2626,1.2361963
2021-03-31,1.2571,1.236178
2021-04-01,1.2569,1.2347264
2021-04-02,1.2566,1.2347264
2021-04-05,1.2512,1.2347264
2021-04-06,1.254,1.2349563
2021-04-07,1.2614,1.2340672
2021-04-08,1.2576,1.2340672
2021-04-09,1.254,1.2340672
2021-04-12,1.2556,1.2340672
2021-04-13,1.2541,1.2346447
2021-04-14,1.2515,1.2340672
2021-04-15,1.2539,1.2340672
2021-04-16,1.2498,1.2316666
2021-04-19,1.2534,1.2293625
2021-04-20,1.2574,1.2331972
2021-04-21,1.2484,1.2320316
2021-04-22,1.249,1.2320316
2021-04-23,1.2495,1.2320316
2021-04-26,1.2399,1.2320316
2021-04-27,1.2396,1.2320316
2021-04-28,1.2354,1.2331972
2021-04-29,1.2295,1.2320316
2021-04-30,1.2291,1.2316666
2021-05-03,1.2275,1.2276309
2021-05-04,1.232,1.2279959
2021-05-05,1.2262,1.2279959
2021-05-06,1.2192,1.2253265
2021-05-07,1.2137,1.223937
2021-05-10,1.2085,1.2240535
2021-05-11,1.2092,1.2240535
2021-05-12,1.2104,1.2240535
2021-05-13,1.2147,1.223937
2021-05-14,1.2114,1.2240535
2021-05-17,1.2073,1.2247268
2021-05-18,1.2061,1.2219443
2021-05-19,1.2089,1.2219443
2021-05-20,1.2049,1.2219443
2021-05-21,1.2072,1.224167
2021-05-24,1.2082,1.224167
2021-05-25,1.2069,1.2249875
2021-05-26,1.2111,1.2249875
2021-05-27,1.2075,1.2249875
2021-05-28,1.2087,1.2249875
2021-06-01,1.2031,1.1549675
2021-06-02,1.2047,1.1549675
2021-06-03,1.2116,1.1549675
2021-06-04,1.2088,1.1519244
2021-06-07,1.2062,1.1549675
2021-06-08,1.2101,1.1549675
2021-06-09,1.2102,1.1549675
2021-06-10,1.2095,1.1549675
2021-06-11,1.2162,1.1549675
2021-06-14,1.2131,1.1519244
2021-06-15,1.2202,1.1519244
2021-06-16,1.2165,1.1519244
2021-06-17,1.2353,1.1539171
2021-06-18,1.2437,1.1553066
2021-06-21,1.237,1.1579758
2021-06-22,1.2364,1.1579758
2021-06-23,1.2286,1.1579758
2021-06-24,1.2337,1.1579758
2021-06-25,1.2293,1.1579758
2021-06-28,1.2325,1.1579758
2021-06-29,1.2378,1.1576108
2021-06-30,1.2404,1.1592432
2021-07-01,1.2405,1.1484132
2021-07-02,1.2346,1.1484132
2021-07-06,1.2466,1.1443543
2021-07-07,1.2506,1.1443543
2021-07-08,1.2533,1.1443543
2021-07-09,1.2476,1.1443543
2021-07-12,1.2455,1.1443543
2021-07-13,1.2511,1.1443543
2021-07-14,1.2521,1.1443543
2021-07-15,1.2575,1.1444708
2021-07-16,1.2586,1.1443543
2021-07-19,1.2752,1.1443543
2021-07-20,1.2724,1.1443543
2021-07-21,1.2538,1.1443543
2021-07-22,1.2578,1.1457438
2021-07-23,1.258,1.1443543
2021-07-26,1.254,1.1443543
2021-07-27,1.2579,1.1457438
2021-07-28,1.2563,1.1457438
2021-07-29,1.2439,1.1443543
2021-07-30,1.2466,1.1444708
2021-08-02,1.2501,1.2180319
2021-08-03,1.255,1.2180319
2021-08-04,1.2551,1.2180319
2021-08-05,1.2487,1.2180319
2021-08-06,1.2563,1.2194214
2021-08-09,1.2571,1.2273718
2021-08-10,1.2531,1.2276285
2021-08-11,1.2513,1.2276285
2021-08-12,1.2518,1.2276789
2021-08-13,1.2512,1.2267997
2021-08-16,1.257,1.2220907
2021-08-17,1.2622,1.2194214
2021-08-18,1.2638,1.2194214
2021-08-19,1.279,1.2194214
2021-08-20,1.2853,1.2220907
2021-08-23,1.2666,1.2220907
2021-08-24,1.2615,1.2180319
2021-08-25,1.2624,1.2194214
2021-08-26,1.2654,1.2220907
2021-08-27,1.2613,1.2194214
2021-08-30,1.2606,1.2194214
2021-08-31,1.2629,1.2180319
2021-09-01,1.2615,1.1494598
2021-09-02,1.2559,1.1494598
2021-09-03,1.2524,1.1494598
2021-09-07,1.2622,1.1494598
2021-09-08,1.2681,1.1508493
2021-09-09,1.2648,1.1508493
2021-09-10,1.2636,1.1508493
2021-09-13,1.2643,1.1508493
2021-09-14,1.2663,1.1508493
2021-09-15,1.2653,1.1494598
2021-09-16,1.2679,1.1535187
2021-09-17,1.2738,1.1571956
2021-09-20,1.2818,1.1582277
2021-09-21,1.2789,1.1531537
2021-09-22,1.2733,1.1535187
2021-09-23,1.2662,1.1531537
2021-09-24,1.2672,1.1591067
2021-09-27,1.2643,1.1591067
2021-09-28,1.2692,1.1587996
2021-09-29,1.275,1.1587996
2021-09-30,1.2673,1.1590564
2021-10-01,1.2657,1.1455753
2021-10-04,1.2571,1.1455753
2021-10-05,1.2562,1.144696
2021-10-06,1.2612,1.1452682
2021-10-07,1.2546,1.144696
2021-10-08,1.2477,1.144696
2021-10-12,1.2439,1.144696
2021-10-13,1.2448,1.1416237
2021-10-14,1.2362,1.1404157
2021-10-15,1.2387,1.1419888
2021-10-18,1.2362,1.144696
2021-10-19,1.2354,1.1419888
2021-10-20,1.2328,1.1419888
2021-10-21,1.2339,1.1419888
